mes,arquivo_fonte,url,descricao_fonte,data_consulta
2016-12,2_2016_12_2.pdf,https://www.fenabrave.org.br/portal/files/2_2016_12_2.pdf,http://online.fliphtml5.com/ordey/coen/index.html,2026-09-12T00:50:10+00:00
2017-01,3_2017_01_2.pdf,https://www.fenabrave.org.br/portal/files/3_2017_01_2.pdf,http://online.fliphtml5.com/ordey/nzbd/index.html,2026-09-12T00:50:12+00:00
2017-02,2017_02_2.pdf,https://www.fenabrave.org.br/portal/files/2017_02_2.pdf,http://online.fliphtml5.com/ordey/wneg/index.html,2026-09-12T00:50:12+00:00
2017-03,2017_03_2.pdf,https://www.fenabrave.org.br/portal/files/2017_03_2.pdf,http://online.fliphtml5.com/ordey/ymtf/index.html,2026-09-12T00:50:12+00:00
2017-04,2017_04_2.pdf,https://www.fenabrave.org.br/portal/files/2017_04_2.pdf,http://online.fliphtml5.com/ordey/xmjs/index.html,2026-09-12T00:50:12+00:00
2017-05,2_2017_05_2.pdf,https://www.fenabrave.org.br/portal/files/2_2017_05_2.pdf,http://online.fliphtml5.com/ordey/kevd/index.html,2026-09-12T00:50:12+00:00
2017-06,2017_06_2.pdf,https://www.fenabrave.org.br/portal/files/2017_06_2.pdf,http://online.fliphtml5.com/ordey/bvty/index.html,2026-09-12T00:50:12+00:00
2017-07,2017_07_2.pdf,https://www.fenabrave.org.br/portal/files/2017_07_2.pdf,http://online.fliphtml5.com/ordey/kxbd/index.html,2026-09-12T00:50:12+00:00
2017-08,2017_08_2.pdf,https://www.fenabrave.org.br/portal/files/2017_08_2.pdf,http://online.fliphtml5.com/ordey/dqnz/index.html,2026-09-12T00:50:12+00:00
2017-09,2017_09_2.pdf,https://www.fenabrave.org.br/portal/files/2017_09_2.pdf,http://online.fliphtml5.com/ordey/ngsg/index.html,2026-09-12T00:50:12+00:00
2017-10,2017_10_2.pdf,https://www.fenabrave.org.br/portal/files/2017_10_2.pdf,http://online.fliphtml5.com/ordey/vlxl/index.html,2026-09-12T00:50:12+00:00
2017-11,2017_11_2.pdf,https://www.fenabrave.org.br/portal/files/2017_11_2.pdf,http://online.fliphtml5.com/ordey/uppz/index.html,2026-09-12T00:50:12+00:00
2017-12,2017_12_2.pdf,https://www.fenabrave.org.br/portal/files/2017_12_2.pdf,http://online.fliphtml5.com/ordey/jwgj/index.html,2026-09-12T00:50:12+00:00
2018-01,2018_01_2.pdf,https://www.fenabrave.org.br/portal/files/2018_01_2.pdf,http://online.fliphtml5.com/ordey/awkz/index.html,2026-09-12T00:50:14+00:00
2018-02,2018_02_2.pdf,https://www.fenabrave.org.br/portal/files/2018_02_2.pdf,http://online.fliphtml5.com/ordey/cnfg/index.html,2026-09-12T00:50:14+00:00
2018-03,2018_03_2.pdf,https://www.fenabrave.org.br/portal/files/2018_03_2.pdf,http://online.fliphtml5.com/ordey/awum/index.html,2026-09-12T00:50:14+00:00
2018-04,2018_04_2.pdf,https://www.fenabrave.org.br/portal/files/2018_04_2.pdf,http://online.fliphtml5.com/ordey/aukq/index.html,2026-09-12T00:50:14+00:00
2018-05,2018_05_2.pdf,https://www.fenabrave.org.br/portal/files/2018_05_2.pdf,http://online.fliphtml5.com/ordey/nryr/index.html,2026-09-12T00:50:14+00:00
2018-06,2_2018_06_2.pdf,https://www.fenabrave.org.br/portal/files/2_2018_06_2.pdf,http://online.fliphtml5.com/ordey/brvp/index.html,2026-09-12T00:50:14+00:00
2018-07,2018_07_2.pdf,https://www.fenabrave.org.br/portal/files/2018_07_2.pdf,http://online.fliphtml5.com/ordey/nzff/index.html,2026-09-12T00:50:14+00:00
2018-08,2018_08_2.pdf,https://www.fenabrave.org.br/portal/files/2018_08_2.pdf,http://online.fliphtml5.com/ordey/zkwo/index.html,2026-09-12T00:50:14+00:00
2018-09,2018_09_2.pdf,https://www.fenabrave.org.br/portal/files/2018_09_2.pdf,http://online.fliphtml5.com/ordey/yqts/index.html,2026-09-12T00:50:14+00:00
2018-10,2018_10_2.pdf,https://www.fenabrave.org.br/portal/files/2018_10_2.pdf,http://online.fliphtml5.com/ordey/ftfk/index.html,2026-09-12T00:50:14+00:00
2018-11,2018_11_2.pdf,https://www.fenabrave.org.br/portal/files/2018_11_2.pdf,http://online.fliphtml5.com/ordey/wszc/index.html,2026-09-12T00:50:14+00:00
