mes,verificacao,escopo,esperado,obtido,diferenca,diferenca_pct,situacao,detalhe
2023-03,mes_declarado,2023-03,,,,,ok,2023-03
2023-03,subtotal_sub_segmento,automoveis/Grandcab,1790,1790,0,,ok,cauda nao publicada: 0 unidades
2023-03,subtotal_sub_segmento,automoveis/Hatch Médios,82,77,-5,-6.0976,cauda_truncada,cauda nao publicada: 5 unidades
2023-03,subtotal_sub_segmento,automoveis/Hatch Pequenos,39313,39292,-21,-0.0534,ok,cauda nao publicada: 21 unidades
2023-03,subtotal_sub_segmento,automoveis/Monocab,15,15,0,,ok,cauda nao publicada: 0 unidades
2023-03,subtotal_sub_segmento,automoveis/Sedans Compactos,11593,11592,-1,-0.0086,ok,cauda nao publicada: 1 unidades
2023-03,subtotal_sub_segmento,automoveis/Sedans Grandes,947,926,-21,-2.2175,cauda_truncada,cauda nao publicada: 21 unidades
2023-03,subtotal_sub_segmento,automoveis/Sedans Pequenos,5716,5716,0,,ok,cauda nao publicada: 0 unidades
2023-03,subtotal_sub_segmento,automoveis/Sedans médios,4810,4810,0,,ok,cauda nao publicada: 0 unidades
2023-03,subtotal_sub_segmento,automoveis/Sports,270,245,-25,-9.2593,cauda_truncada,cauda nao publicada: 25 unidades
2023-03,subtotal_sub_segmento,automoveis/Suv's,67715,66005,-1710,-2.5253,cauda_truncada,cauda nao publicada: 1710 unidades
2023-03,subtotal_sub_segmento,automoveis/Sw Grandes,2,2,0,,ok,cauda nao publicada: 0 unidades
2023-03,subtotal_sub_segmento,automoveis/Sw Médios,1,1,0,,ok,cauda nao publicada: 0 unidades
2023-03,subtotal_sub_segmento,automoveis/Veículos de Entrada,13847,13847,0,,ok,cauda nao publicada: 0 unidades
2023-03,subtotal_sub_segmento,comerciais_leves/Furgões,2822,2399,-423,-14.9894,cauda_truncada,cauda nao publicada: 423 unidades
2023-03,subtotal_sub_segmento,comerciais_leves/Furgões Pequenos,1729,1729,0,,ok,cauda nao publicada: 0 unidades
2023-03,subtotal_sub_segmento,comerciais_leves/Pick-up's Grandes,23289,22771,-518,-2.2242,cauda_truncada,cauda nao publicada: 518 unidades
2023-03,subtotal_sub_segmento,comerciais_leves/Pick-up's Pequenas,12567,12567,0,,ok,cauda nao publicada: 0 unidades
2023-03,ranking_x_sub_segmento,2023-03,180260,180260,0,,ok,0 modelos divergentes de 73 conferidos; desvio de volume 0.0000%
2023-03,cobertura,automoveis,146174,144318,-1856,-1.2697,medido,cobertura=98.73%
2023-03,cobertura,comerciais_leves,40409,40398,-11,-0.0272,medido,cobertura=99.97%
