mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2006-04,automoveis,Grandcab,2217,2217,4,0,2006-04.pdf
2006-04,automoveis,Hatch Médios,4593,4593,6,0,2006-04.pdf
2006-04,automoveis,Hatch Pequenos,16739,16739,8,0,2006-04.pdf
2006-04,automoveis,Monocab,7116,7116,8,0,2006-04.pdf
2006-04,automoveis,Sedans Compactos,2025,2025,6,0,2006-04.pdf
2006-04,automoveis,Sedans Grandes,655,655,12,0,2006-04.pdf
2006-04,automoveis,Sedans Pequenos,14128,14128,6,0,2006-04.pdf
2006-04,automoveis,Sedans médios,8363,8363,17,0,2006-04.pdf
2006-04,automoveis,Sports,69,69,9,0,2006-04.pdf
2006-04,automoveis,Suv's,5409,5409,40,0,2006-04.pdf
2006-04,automoveis,Sw Grandes,758,758,11,0,2006-04.pdf
2006-04,automoveis,Sw Médios,4272,4272,4,0,2006-04.pdf
2006-04,automoveis,Veículos de Entrada,42972,42972,9,0,2006-04.pdf
2006-04,comerciais_leves,Furgões,2289,2289,7,0,2006-04.pdf
2006-04,comerciais_leves,Furgões Pequenos,947,947,4,0,2006-04.pdf
2006-04,comerciais_leves,Pick-up's Grandes,4944,4944,10,0,2006-04.pdf
2006-04,comerciais_leves,Pick-up's Pequenas,6429,6429,6,0,2006-04.pdf
