mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2014-12,automoveis,Grandcab,3301,3301,4,0,2014-12.pdf
2014-12,automoveis,Hatch Médios,7593,7593,6,0,2014-12.pdf
2014-12,automoveis,Hatch Pequenos,68481,68481,11,0,2014-12.pdf
2014-12,automoveis,Monocab,11007,11007,11,0,2014-12.pdf
2014-12,automoveis,Sedans Compactos,11736,11736,6,0,2014-12.pdf
2014-12,automoveis,Sedans Grandes,1749,1749,12,0,2014-12.pdf
2014-12,automoveis,Sedans Pequenos,51780,51780,10,0,2014-12.pdf
2014-12,automoveis,Sedans médios,23616,23616,21,0,2014-12.pdf
2014-12,automoveis,Sports,143,143,9,0,2014-12.pdf
2014-12,automoveis,Suv's,30429,30429,40,0,2014-12.pdf
2014-12,automoveis,Sw Grandes,30,30,7,0,2014-12.pdf
2014-12,automoveis,Sw Médios,1588,1588,4,0,2014-12.pdf
2014-12,automoveis,Veículos de Entrada,87186,87186,9,0,2014-12.pdf
2014-12,comerciais_leves,Furgões,4457,4457,7,0,2014-12.pdf
2014-12,comerciais_leves,Furgões Pequenos,2912,2912,4,0,2014-12.pdf
2014-12,comerciais_leves,Pick-up's Grandes,17071,17071,11,0,2014-12.pdf
2014-12,comerciais_leves,Pick-up's Pequenas,25468,25468,6,0,2014-12.pdf
