mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2014-04,automoveis,Grandcab,3670,3670,4,0,2014-04.pdf
2014-04,automoveis,Hatch Médios,8384,8384,6,0,2014-04.pdf
2014-04,automoveis,Hatch Pequenos,58721,58721,11,0,2014-04.pdf
2014-04,automoveis,Monocab,6824,6824,11,0,2014-04.pdf
2014-04,automoveis,Sedans Compactos,7753,7753,6,0,2014-04.pdf
2014-04,automoveis,Sedans Grandes,1302,1302,12,0,2014-04.pdf
2014-04,automoveis,Sedans Pequenos,38536,38536,10,0,2014-04.pdf
2014-04,automoveis,Sedans médios,21620,21620,21,0,2014-04.pdf
2014-04,automoveis,Sports,183,183,9,0,2014-04.pdf
2014-04,automoveis,Suv's,23893,23893,40,0,2014-04.pdf
2014-04,automoveis,Sw Grandes,18,18,6,0,2014-04.pdf
2014-04,automoveis,Sw Médios,2251,2251,4,0,2014-04.pdf
2014-04,automoveis,Veículos de Entrada,57974,57974,9,0,2014-04.pdf
2014-04,comerciais_leves,Furgões,3459,3459,7,0,2014-04.pdf
2014-04,comerciais_leves,Furgões Pequenos,2483,2483,4,0,2014-04.pdf
2014-04,comerciais_leves,Pick-up's Grandes,15378,15378,11,0,2014-04.pdf
2014-04,comerciais_leves,Pick-up's Pequenas,22548,22548,6,0,2014-04.pdf
