mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2024-02,automoveis,Grandcab,766,766,4,0,2024-02.pdf
2024-02,automoveis,Hatch Médios,102,99,6,3,2024-02.pdf
2024-02,automoveis,Hatch Pequenos,32901,32768,12,133,2024-02.pdf
2024-02,automoveis,Monocab,0,0,1,0,2024-02.pdf
2024-02,automoveis,Sedans Compactos,9035,9035,6,0,2024-02.pdf
2024-02,automoveis,Sedans Grandes,446,437,12,9,2024-02.pdf
2024-02,automoveis,Sedans Pequenos,4071,4071,4,0,2024-02.pdf
2024-02,automoveis,Sedans médios,3951,3951,19,0,2024-02.pdf
2024-02,automoveis,Sports,398,368,9,30,2024-02.pdf
2024-02,automoveis,Suv's,56243,54771,40,1472,2024-02.pdf
2024-02,automoveis,Sw Grandes,7,7,2,0,2024-02.pdf
2024-02,automoveis,Sw Médios,1,1,1,0,2024-02.pdf
2024-02,automoveis,Veículos de Entrada,12339,12339,5,0,2024-02.pdf
2024-02,comerciais_leves,Furgões,2562,1988,7,574,2024-02.pdf
2024-02,comerciais_leves,Furgões Pequenos,1499,1499,4,0,2024-02.pdf
2024-02,comerciais_leves,Pick-up's Grandes,18196,17294,11,902,2024-02.pdf
2024-02,comerciais_leves,Pick-up's Pequenas,12695,12695,3,0,2024-02.pdf
