mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2015-01,automoveis,Grandcab,3381,3381,4,0,2015-01.pdf
2015-01,automoveis,Hatch Médios,5909,5909,6,0,2015-01.pdf
2015-01,automoveis,Hatch Pequenos,50481,50481,11,0,2015-01.pdf
2015-01,automoveis,Monocab,7773,7773,11,0,2015-01.pdf
2015-01,automoveis,Sedans Compactos,7246,7246,6,0,2015-01.pdf
2015-01,automoveis,Sedans Grandes,1275,1275,12,0,2015-01.pdf
2015-01,automoveis,Sedans Pequenos,36122,36122,10,0,2015-01.pdf
2015-01,automoveis,Sedans médios,14000,14000,21,0,2015-01.pdf
2015-01,automoveis,Sports,137,137,9,0,2015-01.pdf
2015-01,automoveis,Suv's,20810,20810,40,0,2015-01.pdf
2015-01,automoveis,Sw Grandes,15,15,3,0,2015-01.pdf
2015-01,automoveis,Sw Médios,1847,1847,4,0,2015-01.pdf
2015-01,automoveis,Veículos de Entrada,54760,54760,9,0,2015-01.pdf
2015-01,comerciais_leves,Furgões,2720,2720,7,0,2015-01.pdf
2015-01,comerciais_leves,Furgões Pequenos,2045,2045,4,0,2015-01.pdf
2015-01,comerciais_leves,Pick-up's Grandes,12427,12427,11,0,2015-01.pdf
2015-01,comerciais_leves,Pick-up's Pequenas,20006,20006,6,0,2015-01.pdf
