mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2015-06,automoveis,Grandcab,2386,2386,4,0,2015-06.pdf
2015-06,automoveis,Hatch Médios,4552,4552,6,0,2015-06.pdf
2015-06,automoveis,Hatch Pequenos,39584,39584,11,0,2015-06.pdf
2015-06,automoveis,Monocab,4664,4664,11,0,2015-06.pdf
2015-06,automoveis,Sedans Compactos,4928,4928,6,0,2015-06.pdf
2015-06,automoveis,Sedans Grandes,1489,1489,12,0,2015-06.pdf
2015-06,automoveis,Sedans Pequenos,29643,29643,10,0,2015-06.pdf
2015-06,automoveis,Sedans médios,17276,17276,21,0,2015-06.pdf
2015-06,automoveis,Sports,180,180,9,0,2015-06.pdf
2015-06,automoveis,Suv's,27198,27198,40,0,2015-06.pdf
2015-06,automoveis,Sw Grandes,146,146,5,0,2015-06.pdf
2015-06,automoveis,Sw Médios,1754,1754,4,0,2015-06.pdf
2015-06,automoveis,Veículos de Entrada,39238,39238,9,0,2015-06.pdf
2015-06,comerciais_leves,Furgões,2510,2510,7,0,2015-06.pdf
2015-06,comerciais_leves,Furgões Pequenos,1646,1646,4,0,2015-06.pdf
2015-06,comerciais_leves,Pick-up's Grandes,9318,9318,11,0,2015-06.pdf
2015-06,comerciais_leves,Pick-up's Pequenas,15579,15579,6,0,2015-06.pdf
