mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2023-08,automoveis,Grandcab,2501,2497,4,4,2023-08.pdf
2023-08,automoveis,Hatch Médios,96,85,6,11,2023-08.pdf
2023-08,automoveis,Hatch Pequenos,39843,39798,12,45,2023-08.pdf
2023-08,automoveis,Monocab,3,3,3,0,2023-08.pdf
2023-08,automoveis,Sedans Compactos,14673,14673,6,0,2023-08.pdf
2023-08,automoveis,Sedans Grandes,750,737,12,13,2023-08.pdf
2023-08,automoveis,Sedans Pequenos,7482,7482,10,0,2023-08.pdf
2023-08,automoveis,Sedans médios,5486,5486,21,0,2023-08.pdf
2023-08,automoveis,Sports,294,262,9,32,2023-08.pdf
2023-08,automoveis,Suv's,71042,69286,40,1756,2023-08.pdf
2023-08,automoveis,Sw Grandes,4,4,3,0,2023-08.pdf
2023-08,automoveis,Sw Médios,0,0,2,0,2023-08.pdf
2023-08,automoveis,Veículos de Entrada,11234,11234,9,0,2023-08.pdf
2023-08,comerciais_leves,Furgões,2986,2251,7,735,2023-08.pdf
2023-08,comerciais_leves,Furgões Pequenos,2070,2070,4,0,2023-08.pdf
2023-08,comerciais_leves,Pick-up's Grandes,20879,19987,11,892,2023-08.pdf
2023-08,comerciais_leves,Pick-up's Pequenas,17463,17463,5,0,2023-08.pdf
