mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2019-12,automoveis,Grandcab,2319,2319,4,0,2019-12.pdf
2019-12,automoveis,Hatch Médios,1112,1020,6,92,2019-12.pdf
2019-12,automoveis,Hatch Pequenos,66515,66375,12,140,2019-12.pdf
2019-12,automoveis,Monocab,2106,2106,7,0,2019-12.pdf
2019-12,automoveis,Sedans Compactos,19168,19165,6,3,2019-12.pdf
2019-12,automoveis,Sedans Grandes,984,909,12,75,2019-12.pdf
2019-12,automoveis,Sedans Pequenos,24189,24189,10,0,2019-12.pdf
2019-12,automoveis,Sedans médios,11631,11623,21,8,2019-12.pdf
2019-12,automoveis,Sports,166,150,9,16,2019-12.pdf
2019-12,automoveis,Suv's,61978,60001,40,1977,2019-12.pdf
2019-12,automoveis,Sw Grandes,113,113,5,0,2019-12.pdf
2019-12,automoveis,Sw Médios,44,44,4,0,2019-12.pdf
2019-12,automoveis,Veículos de Entrada,24959,24958,9,1,2019-12.pdf
2019-12,comerciais_leves,Furgões,3233,2708,7,525,2019-12.pdf
2019-12,comerciais_leves,Furgões Pequenos,2021,2014,4,7,2019-12.pdf
2019-12,comerciais_leves,Pick-up's Grandes,21169,21161,11,8,2019-12.pdf
2019-12,comerciais_leves,Pick-up's Pequenas,10194,10193,6,1,2019-12.pdf
