mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2013-02,automoveis,Grandcab,2700,2700,4,0,2013-02.pdf
2013-02,automoveis,Hatch Médios,9603,9603,6,0,2013-02.pdf
2013-02,automoveis,Hatch Pequenos,45774,45774,11,0,2013-02.pdf
2013-02,automoveis,Monocab,6781,6781,11,0,2013-02.pdf
2013-02,automoveis,Sedans Compactos,7935,7935,6,0,2013-02.pdf
2013-02,automoveis,Sedans Grandes,1071,1071,12,0,2013-02.pdf
2013-02,automoveis,Sedans Pequenos,23550,23550,10,0,2013-02.pdf
2013-02,automoveis,Sedans médios,14122,14122,21,0,2013-02.pdf
2013-02,automoveis,Sports,225,225,9,0,2013-02.pdf
2013-02,automoveis,Suv's,15791,15791,40,0,2013-02.pdf
2013-02,automoveis,Sw Grandes,88,88,4,0,2013-02.pdf
2013-02,automoveis,Sw Médios,2216,2216,4,0,2013-02.pdf
2013-02,automoveis,Veículos de Entrada,53334,53334,9,0,2013-02.pdf
2013-02,comerciais_leves,Furgões,4428,4428,7,0,2013-02.pdf
2013-02,comerciais_leves,Furgões Pequenos,1721,1721,4,0,2013-02.pdf
2013-02,comerciais_leves,Pick-up's Grandes,11367,11367,11,0,2013-02.pdf
2013-02,comerciais_leves,Pick-up's Pequenas,16653,16653,6,0,2013-02.pdf
