mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2012-07,automoveis,Grandcab,1142,1142,4,0,2012-07.pdf
2012-07,automoveis,Hatch Médios,11518,11518,6,0,2012-07.pdf
2012-07,automoveis,Hatch Pequenos,59207,59207,11,0,2012-07.pdf
2012-07,automoveis,Monocab,11786,11786,11,0,2012-07.pdf
2012-07,automoveis,Sedans Compactos,13881,13881,6,0,2012-07.pdf
2012-07,automoveis,Sedans Grandes,1213,1213,12,0,2012-07.pdf
2012-07,automoveis,Sedans Pequenos,44173,44173,10,0,2012-07.pdf
2012-07,automoveis,Sedans médios,24429,24429,21,0,2012-07.pdf
2012-07,automoveis,Sports,186,186,9,0,2012-07.pdf
2012-07,automoveis,Suv's,23848,23848,40,0,2012-07.pdf
2012-07,automoveis,Sw Grandes,1106,1106,8,0,2012-07.pdf
2012-07,automoveis,Sw Médios,4791,4791,4,0,2012-07.pdf
2012-07,automoveis,Veículos de Entrada,98585,98585,9,0,2012-07.pdf
2012-07,comerciais_leves,Furgões,6232,6232,7,0,2012-07.pdf
2012-07,comerciais_leves,Furgões Pequenos,2262,2262,4,0,2012-07.pdf
2012-07,comerciais_leves,Pick-up's Grandes,14961,14961,11,0,2012-07.pdf
2012-07,comerciais_leves,Pick-up's Pequenas,22447,22447,6,0,2012-07.pdf
