mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2003-07,automoveis,Grandcab,2099,2099,4,0,2003-07.pdf
2003-07,automoveis,Hatch Médios,4697,4697,6,0,2003-07.pdf
2003-07,automoveis,Hatch Pequenos,9870,9870,9,0,2003-07.pdf
2003-07,automoveis,Monocab,4150,4150,9,0,2003-07.pdf
2003-07,automoveis,Sedans Compactos,2233,2233,5,0,2003-07.pdf
2003-07,automoveis,Sedans Grandes,279,279,12,0,2003-07.pdf
2003-07,automoveis,Sedans Pequenos,11395,11395,8,0,2003-07.pdf
2003-07,automoveis,Sedans médios,6201,6201,16,0,2003-07.pdf
2003-07,automoveis,Sports,34,34,9,0,2003-07.pdf
2003-07,automoveis,Suv's,4258,4258,40,0,2003-07.pdf
2003-07,automoveis,Sw Grandes,121,121,7,0,2003-07.pdf
2003-07,automoveis,Sw Médios,2858,2858,4,0,2003-07.pdf
2003-07,automoveis,Veículos de Entrada,47387,47387,9,0,2003-07.pdf
2003-07,comerciais_leves,Furgões,1666,1666,7,0,2003-07.pdf
2003-07,comerciais_leves,Furgões Pequenos,918,918,4,0,2003-07.pdf
2003-07,comerciais_leves,Pick-up's Grandes,3563,3563,11,0,2003-07.pdf
2003-07,comerciais_leves,Pick-up's Pequenas,3740,3740,6,0,2003-07.pdf
