mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2013-07,automoveis,Grandcab,4350,4350,4,0,2013-07.pdf
2013-07,automoveis,Hatch Médios,9558,9558,6,0,2013-07.pdf
2013-07,automoveis,Hatch Pequenos,68040,68040,11,0,2013-07.pdf
2013-07,automoveis,Monocab,10100,10100,11,0,2013-07.pdf
2013-07,automoveis,Sedans Compactos,8848,8848,6,0,2013-07.pdf
2013-07,automoveis,Sedans Grandes,1420,1420,12,0,2013-07.pdf
2013-07,automoveis,Sedans Pequenos,49891,49891,10,0,2013-07.pdf
2013-07,automoveis,Sedans médios,20126,20126,21,0,2013-07.pdf
2013-07,automoveis,Sports,215,215,9,0,2013-07.pdf
2013-07,automoveis,Suv's,25623,25623,40,0,2013-07.pdf
2013-07,automoveis,Sw Grandes,20,20,6,0,2013-07.pdf
2013-07,automoveis,Sw Médios,3635,3635,4,0,2013-07.pdf
2013-07,automoveis,Veículos de Entrada,69455,69455,9,0,2013-07.pdf
2013-07,comerciais_leves,Furgões,5897,5897,7,0,2013-07.pdf
2013-07,comerciais_leves,Furgões Pequenos,2619,2619,4,0,2013-07.pdf
2013-07,comerciais_leves,Pick-up's Grandes,16563,16563,11,0,2013-07.pdf
2013-07,comerciais_leves,Pick-up's Pequenas,21710,21710,6,0,2013-07.pdf
