mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2009-04,automoveis,Grandcab,2097,2097,4,0,2009-04.pdf
2009-04,automoveis,Hatch Médios,8245,8245,6,0,2009-04.pdf
2009-04,automoveis,Hatch Pequenos,26545,26545,11,0,2009-04.pdf
2009-04,automoveis,Monocab,10146,10146,11,0,2009-04.pdf
2009-04,automoveis,Sedans Compactos,2661,2661,6,0,2009-04.pdf
2009-04,automoveis,Sedans Grandes,1897,1897,12,0,2009-04.pdf
2009-04,automoveis,Sedans Pequenos,36142,36142,10,0,2009-04.pdf
2009-04,automoveis,Sedans médios,15225,15225,21,0,2009-04.pdf
2009-04,automoveis,Sports,96,96,9,0,2009-04.pdf
2009-04,automoveis,Suv's,13451,13451,40,0,2009-04.pdf
2009-04,automoveis,Sw Grandes,372,372,10,0,2009-04.pdf
2009-04,automoveis,Sw Médios,6109,6109,4,0,2009-04.pdf
2009-04,automoveis,Veículos de Entrada,71508,71508,9,0,2009-04.pdf
2009-04,comerciais_leves,Furgões,4538,4538,7,0,2009-04.pdf
2009-04,comerciais_leves,Furgões Pequenos,1743,1743,4,0,2009-04.pdf
2009-04,comerciais_leves,Pick-up's Grandes,7774,7774,11,0,2009-04.pdf
2009-04,comerciais_leves,Pick-up's Pequenas,12331,12331,6,0,2009-04.pdf
