mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2013-05,automoveis,Grandcab,3605,3605,4,0,2013-05.pdf
2013-05,automoveis,Hatch Médios,8605,8605,6,0,2013-05.pdf
2013-05,automoveis,Hatch Pequenos,59870,59870,11,0,2013-05.pdf
2013-05,automoveis,Monocab,8461,8461,11,0,2013-05.pdf
2013-05,automoveis,Sedans Compactos,9379,9379,6,0,2013-05.pdf
2013-05,automoveis,Sedans Grandes,1516,1516,12,0,2013-05.pdf
2013-05,automoveis,Sedans Pequenos,46681,46681,10,0,2013-05.pdf
2013-05,automoveis,Sedans médios,19825,19825,21,0,2013-05.pdf
2013-05,automoveis,Sports,277,277,9,0,2013-05.pdf
2013-05,automoveis,Suv's,24015,24015,40,0,2013-05.pdf
2013-05,automoveis,Sw Grandes,30,30,5,0,2013-05.pdf
2013-05,automoveis,Sw Médios,3384,3384,4,0,2013-05.pdf
2013-05,automoveis,Veículos de Entrada,65959,65959,9,0,2013-05.pdf
2013-05,comerciais_leves,Furgões,4770,4770,7,0,2013-05.pdf
2013-05,comerciais_leves,Furgões Pequenos,1966,1966,4,0,2013-05.pdf
2013-05,comerciais_leves,Pick-up's Grandes,15299,15299,11,0,2013-05.pdf
2013-05,comerciais_leves,Pick-up's Pequenas,20998,20998,6,0,2013-05.pdf
