mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2016-03,automoveis,Grandcab,1477,1477,4,0,2016-03.pdf
2016-03,automoveis,Hatch Médios,3349,3349,6,0,2016-03.pdf
2016-03,automoveis,Hatch Pequenos,37093,37093,11,0,2016-03.pdf
2016-03,automoveis,Monocab,3499,3499,10,0,2016-03.pdf
2016-03,automoveis,Sedans Compactos,4237,4237,6,0,2016-03.pdf
2016-03,automoveis,Sedans Grandes,780,780,12,0,2016-03.pdf
2016-03,automoveis,Sedans Pequenos,25089,25089,10,0,2016-03.pdf
2016-03,automoveis,Sedans médios,12928,12928,21,0,2016-03.pdf
2016-03,automoveis,Sports,86,86,9,0,2016-03.pdf
2016-03,automoveis,Suv's,25603,25603,40,0,2016-03.pdf
2016-03,automoveis,Sw Grandes,136,136,4,0,2016-03.pdf
2016-03,automoveis,Sw Médios,1136,1136,4,0,2016-03.pdf
2016-03,automoveis,Veículos de Entrada,30665,30665,9,0,2016-03.pdf
2016-03,comerciais_leves,Furgões,1809,1809,7,0,2016-03.pdf
2016-03,comerciais_leves,Furgões Pequenos,1263,1263,4,0,2016-03.pdf
2016-03,comerciais_leves,Pick-up's Grandes,13505,13505,11,0,2016-03.pdf
2016-03,comerciais_leves,Pick-up's Pequenas,8702,8702,4,0,2016-03.pdf
