mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2017-06,automoveis,Grandcab,2119,2119,4,0,2017-06.pdf
2017-06,automoveis,Hatch Médios,2253,2130,6,123,2017-06.pdf
2017-06,automoveis,Hatch Pequenos,44208,44151,11,57,2017-06.pdf
2017-06,automoveis,Monocab,2306,2306,10,0,2017-06.pdf
2017-06,automoveis,Sedans Compactos,3548,3548,6,0,2017-06.pdf
2017-06,automoveis,Sedans Grandes,933,835,12,98,2017-06.pdf
2017-06,automoveis,Sedans Pequenos,23536,23535,10,1,2017-06.pdf
2017-06,automoveis,Sedans médios,13710,13677,21,33,2017-06.pdf
2017-06,automoveis,Sports,118,84,9,34,2017-06.pdf
2017-06,automoveis,Suv's,34164,33262,40,902,2017-06.pdf
2017-06,automoveis,Sw Grandes,93,93,6,0,2017-06.pdf
2017-06,automoveis,Sw Médios,307,307,4,0,2017-06.pdf
2017-06,automoveis,Veículos de Entrada,33892,33891,9,1,2017-06.pdf
2017-06,comerciais_leves,Furgões,1440,1290,7,150,2017-06.pdf
2017-06,comerciais_leves,Furgões Pequenos,1134,1120,4,14,2017-06.pdf
2017-06,comerciais_leves,Pick-up's Grandes,16347,16342,11,5,2017-06.pdf
2017-06,comerciais_leves,Pick-up's Pequenas,9107,9106,6,1,2017-06.pdf
