mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2018-02,automoveis,Grandcab,1744,1744,3,0,2018-02.pdf
2018-02,automoveis,Hatch Médios,1134,1102,6,32,2018-02.pdf
2018-02,automoveis,Hatch Pequenos,37398,37362,12,36,2018-02.pdf
2018-02,automoveis,Monocab,2678,2678,5,0,2018-02.pdf
2018-02,automoveis,Sedans Compactos,3637,3637,6,0,2018-02.pdf
2018-02,automoveis,Sedans Grandes,639,570,12,69,2018-02.pdf
2018-02,automoveis,Sedans Pequenos,16837,16836,10,1,2018-02.pdf
2018-02,automoveis,Sedans médios,10111,10105,21,6,2018-02.pdf
2018-02,automoveis,Sports,98,82,9,16,2018-02.pdf
2018-02,automoveis,Suv's,30773,30198,40,575,2018-02.pdf
2018-02,automoveis,Sw Grandes,64,64,3,0,2018-02.pdf
2018-02,automoveis,Sw Médios,602,602,3,0,2018-02.pdf
2018-02,automoveis,Veículos de Entrada,24014,24014,9,0,2018-02.pdf
2018-02,comerciais_leves,Furgões,1523,1364,7,159,2018-02.pdf
2018-02,comerciais_leves,Furgões Pequenos,734,734,4,0,2018-02.pdf
2018-02,comerciais_leves,Pick-up's Grandes,11624,11621,11,3,2018-02.pdf
2018-02,comerciais_leves,Pick-up's Pequenas,8070,8070,3,0,2018-02.pdf
