mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2021-06,automoveis,Grandcab,2010,2010,4,0,2021-06.pdf
2021-06,automoveis,Hatch Médios,173,160,6,13,2021-06.pdf
2021-06,automoveis,Hatch Pequenos,28494,28475,12,19,2021-06.pdf
2021-06,automoveis,Monocab,1629,1629,6,0,2021-06.pdf
2021-06,automoveis,Sedans Compactos,6011,6011,6,0,2021-06.pdf
2021-06,automoveis,Sedans Grandes,687,652,12,35,2021-06.pdf
2021-06,automoveis,Sedans Pequenos,11764,11764,10,0,2021-06.pdf
2021-06,automoveis,Sedans médios,6546,6545,21,1,2021-06.pdf
2021-06,automoveis,Sports,303,256,9,47,2021-06.pdf
2021-06,automoveis,Suv's,54604,52645,40,1959,2021-06.pdf
2021-06,automoveis,Sw Grandes,16,16,4,0,2021-06.pdf
2021-06,automoveis,Sw Médios,0,0,4,0,2021-06.pdf
2021-06,automoveis,Veículos de Entrada,21021,21019,9,2,2021-06.pdf
2021-06,comerciais_leves,Furgões,3276,2623,7,653,2021-06.pdf
2021-06,comerciais_leves,Furgões Pequenos,2184,2182,4,2,2021-06.pdf
2021-06,comerciais_leves,Pick-up's Grandes,17946,17941,11,5,2021-06.pdf
2021-06,comerciais_leves,Pick-up's Pequenas,12863,12863,5,0,2021-06.pdf
