mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2015-10,automoveis,Grandcab,2593,2593,4,0,2015-10.pdf
2015-10,automoveis,Hatch Médios,4327,4327,6,0,2015-10.pdf
2015-10,automoveis,Hatch Pequenos,37996,37996,11,0,2015-10.pdf
2015-10,automoveis,Monocab,4944,4944,11,0,2015-10.pdf
2015-10,automoveis,Sedans Compactos,3898,3898,6,0,2015-10.pdf
2015-10,automoveis,Sedans Grandes,2079,2079,12,0,2015-10.pdf
2015-10,automoveis,Sedans Pequenos,26861,26861,10,0,2015-10.pdf
2015-10,automoveis,Sedans médios,14405,14405,21,0,2015-10.pdf
2015-10,automoveis,Sports,113,113,9,0,2015-10.pdf
2015-10,automoveis,Suv's,27382,27382,40,0,2015-10.pdf
2015-10,automoveis,Sw Grandes,148,148,6,0,2015-10.pdf
2015-10,automoveis,Sw Médios,1257,1257,4,0,2015-10.pdf
2015-10,automoveis,Veículos de Entrada,33650,33650,9,0,2015-10.pdf
2015-10,comerciais_leves,Furgões,1910,1910,7,0,2015-10.pdf
2015-10,comerciais_leves,Furgões Pequenos,1812,1812,4,0,2015-10.pdf
2015-10,comerciais_leves,Pick-up's Grandes,8289,8289,11,0,2015-10.pdf
2015-10,comerciais_leves,Pick-up's Pequenas,11394,11394,6,0,2015-10.pdf
