mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2005-08,automoveis,Grandcab,2551,2551,4,0,2005-08.pdf
2005-08,automoveis,Hatch Médios,5002,5002,6,0,2005-08.pdf
2005-08,automoveis,Hatch Pequenos,19546,19546,10,0,2005-08.pdf
2005-08,automoveis,Monocab,5884,5884,7,0,2005-08.pdf
2005-08,automoveis,Sedans Compactos,1889,1889,6,0,2005-08.pdf
2005-08,automoveis,Sedans Grandes,420,420,12,0,2005-08.pdf
2005-08,automoveis,Sedans Pequenos,18507,18507,9,0,2005-08.pdf
2005-08,automoveis,Sedans médios,6788,6788,16,0,2005-08.pdf
2005-08,automoveis,Sports,31,31,9,0,2005-08.pdf
2005-08,automoveis,Suv's,6366,6366,40,0,2005-08.pdf
2005-08,automoveis,Sw Grandes,873,873,10,0,2005-08.pdf
2005-08,automoveis,Sw Médios,4792,4792,4,0,2005-08.pdf
2005-08,automoveis,Veículos de Entrada,53888,53888,9,0,2005-08.pdf
2005-08,comerciais_leves,Furgões,2487,2487,7,0,2005-08.pdf
2005-08,comerciais_leves,Furgões Pequenos,1472,1472,4,0,2005-08.pdf
2005-08,comerciais_leves,Pick-up's Grandes,4626,4626,11,0,2005-08.pdf
2005-08,comerciais_leves,Pick-up's Pequenas,7692,7692,6,0,2005-08.pdf
