mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2017-12,automoveis,Grandcab,2463,2462,4,1,2017-12.pdf
2017-12,automoveis,Hatch Médios,1419,1300,6,119,2017-12.pdf
2017-12,automoveis,Hatch Pequenos,48896,48488,11,408,2017-12.pdf
2017-12,automoveis,Monocab,3302,3302,10,0,2017-12.pdf
2017-12,automoveis,Sedans Compactos,3403,3403,6,0,2017-12.pdf
2017-12,automoveis,Sedans Grandes,906,827,12,79,2017-12.pdf
2017-12,automoveis,Sedans Pequenos,23411,23410,10,1,2017-12.pdf
2017-12,automoveis,Sedans médios,13699,13675,21,24,2017-12.pdf
2017-12,automoveis,Sports,130,86,9,44,2017-12.pdf
2017-12,automoveis,Suv's,44152,43139,40,1013,2017-12.pdf
2017-12,automoveis,Sw Grandes,97,97,8,0,2017-12.pdf
2017-12,automoveis,Sw Médios,729,728,4,1,2017-12.pdf
2017-12,automoveis,Veículos de Entrada,29358,29357,9,1,2017-12.pdf
2017-12,comerciais_leves,Furgões,1989,1625,7,364,2017-12.pdf
2017-12,comerciais_leves,Furgões Pequenos,1190,1149,4,41,2017-12.pdf
2017-12,comerciais_leves,Pick-up's Grandes,17715,17701,11,14,2017-12.pdf
2017-12,comerciais_leves,Pick-up's Pequenas,11965,11965,6,0,2017-12.pdf
