mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2013-12,automoveis,Grandcab,4178,4178,4,0,2013-12.pdf
2013-12,automoveis,Hatch Médios,10987,10987,6,0,2013-12.pdf
2013-12,automoveis,Hatch Pequenos,73094,73094,11,0,2013-12.pdf
2013-12,automoveis,Monocab,9010,9010,11,0,2013-12.pdf
2013-12,automoveis,Sedans Compactos,10364,10364,6,0,2013-12.pdf
2013-12,automoveis,Sedans Grandes,1660,1660,12,0,2013-12.pdf
2013-12,automoveis,Sedans Pequenos,50077,50077,10,0,2013-12.pdf
2013-12,automoveis,Sedans médios,22732,22732,21,0,2013-12.pdf
2013-12,automoveis,Sports,260,260,9,0,2013-12.pdf
2013-12,automoveis,Suv's,28781,28781,40,0,2013-12.pdf
2013-12,automoveis,Sw Grandes,9,9,7,0,2013-12.pdf
2013-12,automoveis,Sw Médios,3300,3300,4,0,2013-12.pdf
2013-12,automoveis,Veículos de Entrada,67545,67545,9,0,2013-12.pdf
2013-12,comerciais_leves,Furgões,6299,6299,7,0,2013-12.pdf
2013-12,comerciais_leves,Furgões Pequenos,2015,2015,4,0,2013-12.pdf
2013-12,comerciais_leves,Pick-up's Grandes,17287,17287,11,0,2013-12.pdf
2013-12,comerciais_leves,Pick-up's Pequenas,21515,21515,6,0,2013-12.pdf
