mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2018-10,automoveis,Grandcab,2600,2596,4,4,2018-10.pdf
2018-10,automoveis,Hatch Médios,944,866,6,78,2018-10.pdf
2018-10,automoveis,Hatch Pequenos,60160,60128,12,32,2018-10.pdf
2018-10,automoveis,Monocab,3419,3419,7,0,2018-10.pdf
2018-10,automoveis,Sedans Compactos,10775,10772,6,3,2018-10.pdf
2018-10,automoveis,Sedans Grandes,778,714,12,64,2018-10.pdf
2018-10,automoveis,Sedans Pequenos,28376,28375,10,1,2018-10.pdf
2018-10,automoveis,Sedans médios,13462,13461,21,1,2018-10.pdf
2018-10,automoveis,Sports,161,128,9,33,2018-10.pdf
2018-10,automoveis,Suv's,50783,49294,40,1489,2018-10.pdf
2018-10,automoveis,Sw Grandes,50,50,6,0,2018-10.pdf
2018-10,automoveis,Sw Médios,1246,1246,4,0,2018-10.pdf
2018-10,automoveis,Veículos de Entrada,36017,36009,9,8,2018-10.pdf
2018-10,comerciais_leves,Furgões,2771,2162,7,609,2018-10.pdf
2018-10,comerciais_leves,Furgões Pequenos,1869,1858,4,11,2018-10.pdf
2018-10,comerciais_leves,Pick-up's Grandes,18758,18752,11,6,2018-10.pdf
2018-10,comerciais_leves,Pick-up's Pequenas,12511,12511,5,0,2018-10.pdf
