mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2011-06,automoveis,Grandcab,1655,1655,4,0,2011-06.pdf
2011-06,automoveis,Hatch Médios,11571,11571,6,0,2011-06.pdf
2011-06,automoveis,Hatch Pequenos,33641,33641,11,0,2011-06.pdf
2011-06,automoveis,Monocab,9541,9541,11,0,2011-06.pdf
2011-06,automoveis,Sedans Compactos,7340,7340,6,0,2011-06.pdf
2011-06,automoveis,Sedans Grandes,2887,2887,12,0,2011-06.pdf
2011-06,automoveis,Sedans Pequenos,39815,39815,10,0,2011-06.pdf
2011-06,automoveis,Sedans médios,18074,18074,21,0,2011-06.pdf
2011-06,automoveis,Sports,269,269,9,0,2011-06.pdf
2011-06,automoveis,Suv's,21916,21916,40,0,2011-06.pdf
2011-06,automoveis,Sw Grandes,759,759,8,0,2011-06.pdf
2011-06,automoveis,Sw Médios,4401,4401,4,0,2011-06.pdf
2011-06,automoveis,Veículos de Entrada,85300,85300,9,0,2011-06.pdf
2011-06,comerciais_leves,Furgões,6210,6210,7,0,2011-06.pdf
2011-06,comerciais_leves,Furgões Pequenos,2498,2498,4,0,2011-06.pdf
2011-06,comerciais_leves,Pick-up's Grandes,11516,11516,11,0,2011-06.pdf
2011-06,comerciais_leves,Pick-up's Pequenas,22200,22200,6,0,2011-06.pdf
