mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2020-07,automoveis,Grandcab,1844,1843,4,1,2020-07.pdf
2020-07,automoveis,Hatch Médios,537,521,6,16,2020-07.pdf
2020-07,automoveis,Hatch Pequenos,36101,36058,12,43,2020-07.pdf
2020-07,automoveis,Monocab,1399,1399,4,0,2020-07.pdf
2020-07,automoveis,Sedans Compactos,9373,9373,6,0,2020-07.pdf
2020-07,automoveis,Sedans Grandes,807,726,12,81,2020-07.pdf
2020-07,automoveis,Sedans Pequenos,10623,10623,10,0,2020-07.pdf
2020-07,automoveis,Sedans médios,6830,6823,21,7,2020-07.pdf
2020-07,automoveis,Sports,192,183,9,9,2020-07.pdf
2020-07,automoveis,Suv's,51638,50087,40,1551,2020-07.pdf
2020-07,automoveis,Sw Grandes,35,35,4,0,2020-07.pdf
2020-07,automoveis,Sw Médios,10,10,4,0,2020-07.pdf
2020-07,automoveis,Veículos de Entrada,15504,15502,9,2,2020-07.pdf
2020-07,comerciais_leves,Furgões,3151,2342,7,809,2020-07.pdf
2020-07,comerciais_leves,Furgões Pequenos,1471,1470,4,1,2020-07.pdf
2020-07,comerciais_leves,Pick-up's Grandes,13132,13130,11,2,2020-07.pdf
2020-07,comerciais_leves,Pick-up's Pequenas,10384,10384,5,0,2020-07.pdf
