mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2025-06,automoveis,Grandcab,2002,2002,4,0,2025-06.pdf
2025-06,automoveis,Hatch Médios,38,37,6,1,2025-06.pdf
2025-06,automoveis,Hatch Pequenos,39474,39371,12,103,2025-06.pdf
2025-06,automoveis,Monocab,0,0,1,0,2025-06.pdf
2025-06,automoveis,Sedans Compactos,9737,9737,6,0,2025-06.pdf
2025-06,automoveis,Sedans Grandes,613,577,12,36,2025-06.pdf
2025-06,automoveis,Sedans Pequenos,4162,4162,7,0,2025-06.pdf
2025-06,automoveis,Sedans médios,5120,5119,21,1,2025-06.pdf
2025-06,automoveis,Sports,222,197,9,25,2025-06.pdf
2025-06,automoveis,Suv's,86011,82634,40,3377,2025-06.pdf
2025-06,automoveis,Sw Grandes,18,18,2,0,2025-06.pdf
2025-06,automoveis,Sw Médios,0,0,0,0,2025-06.pdf
2025-06,automoveis,Veículos de Entrada,11675,11675,8,0,2025-06.pdf
2025-06,comerciais_leves,Furgões,3248,2297,7,951,2025-06.pdf
2025-06,comerciais_leves,Furgões Pequenos,2676,2675,4,1,2025-06.pdf
2025-06,comerciais_leves,Pick-up's Grandes,20779,19969,11,810,2025-06.pdf
2025-06,comerciais_leves,Pick-up's Pequenas,16325,16325,3,0,2025-06.pdf
