mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2012-06,automoveis,Grandcab,1099,1099,4,0,2012-06.pdf
2012-06,automoveis,Hatch Médios,11501,11501,6,0,2012-06.pdf
2012-06,automoveis,Hatch Pequenos,60861,60861,11,0,2012-06.pdf
2012-06,automoveis,Monocab,11857,11857,11,0,2012-06.pdf
2012-06,automoveis,Sedans Compactos,13302,13302,6,0,2012-06.pdf
2012-06,automoveis,Sedans Grandes,1392,1392,12,0,2012-06.pdf
2012-06,automoveis,Sedans Pequenos,42858,42858,10,0,2012-06.pdf
2012-06,automoveis,Sedans médios,25752,25752,21,0,2012-06.pdf
2012-06,automoveis,Sports,159,159,9,0,2012-06.pdf
2012-06,automoveis,Suv's,24710,24710,40,0,2012-06.pdf
2012-06,automoveis,Sw Grandes,998,998,8,0,2012-06.pdf
2012-06,automoveis,Sw Médios,3721,3721,4,0,2012-06.pdf
2012-06,automoveis,Veículos de Entrada,93851,93851,9,0,2012-06.pdf
2012-06,comerciais_leves,Furgões,5624,5624,7,0,2012-06.pdf
2012-06,comerciais_leves,Furgões Pequenos,2150,2150,4,0,2012-06.pdf
2012-06,comerciais_leves,Pick-up's Grandes,14056,14056,11,0,2012-06.pdf
2012-06,comerciais_leves,Pick-up's Pequenas,18251,18251,6,0,2012-06.pdf
