mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2006-03,automoveis,Grandcab,1691,1691,4,0,2006-03.pdf
2006-03,automoveis,Hatch Médios,4670,4670,6,0,2006-03.pdf
2006-03,automoveis,Hatch Pequenos,21969,21969,8,0,2006-03.pdf
2006-03,automoveis,Monocab,8572,8572,8,0,2006-03.pdf
2006-03,automoveis,Sedans Compactos,1925,1925,6,0,2006-03.pdf
2006-03,automoveis,Sedans Grandes,804,804,12,0,2006-03.pdf
2006-03,automoveis,Sedans Pequenos,18138,18138,6,0,2006-03.pdf
2006-03,automoveis,Sedans médios,8808,8808,16,0,2006-03.pdf
2006-03,automoveis,Sports,58,58,9,0,2006-03.pdf
2006-03,automoveis,Suv's,5978,5978,40,0,2006-03.pdf
2006-03,automoveis,Sw Grandes,805,805,9,0,2006-03.pdf
2006-03,automoveis,Sw Médios,5192,5192,4,0,2006-03.pdf
2006-03,automoveis,Veículos de Entrada,52092,52092,9,0,2006-03.pdf
2006-03,comerciais_leves,Furgões,3040,3040,7,0,2006-03.pdf
2006-03,comerciais_leves,Furgões Pequenos,1338,1338,4,0,2006-03.pdf
2006-03,comerciais_leves,Pick-up's Grandes,5050,5050,10,0,2006-03.pdf
2006-03,comerciais_leves,Pick-up's Pequenas,7625,7625,6,0,2006-03.pdf
