mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2003-09,automoveis,Grandcab,2894,2894,4,0,2003-09.pdf
2003-09,automoveis,Hatch Médios,5243,5243,6,0,2003-09.pdf
2003-09,automoveis,Hatch Pequenos,10583,10583,9,0,2003-09.pdf
2003-09,automoveis,Monocab,5184,5184,9,0,2003-09.pdf
2003-09,automoveis,Sedans Compactos,2251,2251,6,0,2003-09.pdf
2003-09,automoveis,Sedans Grandes,369,369,12,0,2003-09.pdf
2003-09,automoveis,Sedans Pequenos,12405,12405,8,0,2003-09.pdf
2003-09,automoveis,Sedans médios,7020,7020,17,0,2003-09.pdf
2003-09,automoveis,Sports,32,32,9,0,2003-09.pdf
2003-09,automoveis,Suv's,4280,4280,40,0,2003-09.pdf
2003-09,automoveis,Sw Grandes,66,66,8,0,2003-09.pdf
2003-09,automoveis,Sw Médios,2927,2927,4,0,2003-09.pdf
2003-09,automoveis,Veículos de Entrada,53457,53457,9,0,2003-09.pdf
2003-09,comerciais_leves,Furgões,1504,1504,7,0,2003-09.pdf
2003-09,comerciais_leves,Furgões Pequenos,1068,1068,4,0,2003-09.pdf
2003-09,comerciais_leves,Pick-up's Grandes,3505,3505,11,0,2003-09.pdf
2003-09,comerciais_leves,Pick-up's Pequenas,4683,4683,6,0,2003-09.pdf
