mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2023-06,automoveis,Grandcab,1521,1520,4,1,2023-06.pdf
2023-06,automoveis,Hatch Médios,144,142,6,2,2023-06.pdf
2023-06,automoveis,Hatch Pequenos,40881,40855,12,26,2023-06.pdf
2023-06,automoveis,Monocab,2,2,3,0,2023-06.pdf
2023-06,automoveis,Sedans Compactos,11805,11804,6,1,2023-06.pdf
2023-06,automoveis,Sedans Grandes,564,549,12,15,2023-06.pdf
2023-06,automoveis,Sedans Pequenos,6837,6837,10,0,2023-06.pdf
2023-06,automoveis,Sedans médios,4717,4717,20,0,2023-06.pdf
2023-06,automoveis,Sports,215,193,9,22,2023-06.pdf
2023-06,automoveis,Suv's,62340,61091,40,1249,2023-06.pdf
2023-06,automoveis,Sw Grandes,3,3,3,0,2023-06.pdf
2023-06,automoveis,Sw Médios,0,0,2,0,2023-06.pdf
2023-06,automoveis,Veículos de Entrada,12924,12923,9,1,2023-06.pdf
2023-06,comerciais_leves,Furgões,2323,1897,7,426,2023-06.pdf
2023-06,comerciais_leves,Furgões Pequenos,2439,2435,4,4,2023-06.pdf
2023-06,comerciais_leves,Pick-up's Grandes,19267,18568,11,699,2023-06.pdf
2023-06,comerciais_leves,Pick-up's Pequenas,13643,13643,5,0,2023-06.pdf
