mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2022-09,automoveis,Grandcab,2091,2091,4,0,2022-09.pdf
2022-09,automoveis,Hatch Médios,173,164,6,9,2022-09.pdf
2022-09,automoveis,Hatch Pequenos,33229,33197,12,32,2022-09.pdf
2022-09,automoveis,Monocab,4,4,4,0,2022-09.pdf
2022-09,automoveis,Sedans Compactos,11396,11394,6,2,2022-09.pdf
2022-09,automoveis,Sedans Grandes,557,539,12,18,2022-09.pdf
2022-09,automoveis,Sedans Pequenos,9989,9989,10,0,2022-09.pdf
2022-09,automoveis,Sedans médios,4556,4556,21,0,2022-09.pdf
2022-09,automoveis,Sports,247,218,9,29,2022-09.pdf
2022-09,automoveis,Suv's,61915,59844,40,2071,2022-09.pdf
2022-09,automoveis,Sw Grandes,1,1,3,0,2022-09.pdf
2022-09,automoveis,Sw Médios,0,0,4,0,2022-09.pdf
2022-09,automoveis,Veículos de Entrada,18988,18988,9,0,2022-09.pdf
2022-09,comerciais_leves,Furgões,3178,2218,7,960,2022-09.pdf
2022-09,comerciais_leves,Furgões Pequenos,2136,2135,4,1,2022-09.pdf
2022-09,comerciais_leves,Pick-up's Grandes,17395,17184,11,211,2022-09.pdf
2022-09,comerciais_leves,Pick-up's Pequenas,14504,14503,6,1,2022-09.pdf
