mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2013-11,automoveis,Grandcab,3925,3925,4,0,2013-11.pdf
2013-11,automoveis,Hatch Médios,9049,9049,6,0,2013-11.pdf
2013-11,automoveis,Hatch Pequenos,60471,60471,11,0,2013-11.pdf
2013-11,automoveis,Monocab,7565,7565,11,0,2013-11.pdf
2013-11,automoveis,Sedans Compactos,9438,9438,6,0,2013-11.pdf
2013-11,automoveis,Sedans Grandes,1650,1650,12,0,2013-11.pdf
2013-11,automoveis,Sedans Pequenos,40805,40805,10,0,2013-11.pdf
2013-11,automoveis,Sedans médios,19954,19954,21,0,2013-11.pdf
2013-11,automoveis,Sports,194,194,9,0,2013-11.pdf
2013-11,automoveis,Suv's,24444,24444,40,0,2013-11.pdf
2013-11,automoveis,Sw Grandes,10,10,6,0,2013-11.pdf
2013-11,automoveis,Sw Médios,4731,4731,4,0,2013-11.pdf
2013-11,automoveis,Veículos de Entrada,61173,61173,9,0,2013-11.pdf
2013-11,comerciais_leves,Furgões,5957,5957,7,0,2013-11.pdf
2013-11,comerciais_leves,Furgões Pequenos,2119,2119,4,0,2013-11.pdf
2013-11,comerciais_leves,Pick-up's Grandes,14660,14660,11,0,2013-11.pdf
2013-11,comerciais_leves,Pick-up's Pequenas,16561,16561,6,0,2013-11.pdf
