mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2008-09,automoveis,Grandcab,2710,2710,4,0,2008-09.pdf
2008-09,automoveis,Hatch Médios,10719,10719,6,0,2008-09.pdf
2008-09,automoveis,Hatch Pequenos,31527,31527,11,0,2008-09.pdf
2008-09,automoveis,Monocab,9504,9504,10,0,2008-09.pdf
2008-09,automoveis,Sedans Compactos,2630,2630,6,0,2008-09.pdf
2008-09,automoveis,Sedans Grandes,1087,1087,12,0,2008-09.pdf
2008-09,automoveis,Sedans Pequenos,35530,35530,10,0,2008-09.pdf
2008-09,automoveis,Sedans médios,19163,19163,21,0,2008-09.pdf
2008-09,automoveis,Sports,121,121,9,0,2008-09.pdf
2008-09,automoveis,Suv's,15597,15597,40,0,2008-09.pdf
2008-09,automoveis,Sw Grandes,739,739,11,0,2008-09.pdf
2008-09,automoveis,Sw Médios,7489,7489,4,0,2008-09.pdf
2008-09,automoveis,Veículos de Entrada,82804,82804,9,0,2008-09.pdf
2008-09,comerciais_leves,Furgões,5909,5909,7,0,2008-09.pdf
2008-09,comerciais_leves,Furgões Pequenos,1869,1869,4,0,2008-09.pdf
2008-09,comerciais_leves,Pick-up's Grandes,8477,8477,11,0,2008-09.pdf
2008-09,comerciais_leves,Pick-up's Pequenas,13523,13523,6,0,2008-09.pdf
