mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2022-12,automoveis,Grandcab,2455,2455,4,0,2022-12.pdf
2022-12,automoveis,Hatch Médios,140,138,6,2,2022-12.pdf
2022-12,automoveis,Hatch Pequenos,37379,37361,12,18,2022-12.pdf
2022-12,automoveis,Monocab,2,2,4,0,2022-12.pdf
2022-12,automoveis,Sedans Compactos,12636,12635,6,1,2022-12.pdf
2022-12,automoveis,Sedans Grandes,1167,1120,12,47,2022-12.pdf
2022-12,automoveis,Sedans Pequenos,12443,12443,10,0,2022-12.pdf
2022-12,automoveis,Sedans médios,4912,4911,21,1,2022-12.pdf
2022-12,automoveis,Sports,145,122,9,23,2022-12.pdf
2022-12,automoveis,Suv's,71288,69271,40,2017,2022-12.pdf
2022-12,automoveis,Sw Grandes,11,11,3,0,2022-12.pdf
2022-12,automoveis,Sw Médios,0,0,4,0,2022-12.pdf
2022-12,automoveis,Veículos de Entrada,21522,21522,9,0,2022-12.pdf
2022-12,comerciais_leves,Furgões,2708,2172,7,536,2022-12.pdf
2022-12,comerciais_leves,Furgões Pequenos,2258,2258,4,0,2022-12.pdf
2022-12,comerciais_leves,Pick-up's Grandes,20848,20353,11,495,2022-12.pdf
2022-12,comerciais_leves,Pick-up's Pequenas,12192,12192,6,0,2022-12.pdf
