mes,segmento,sub_segmento_fonte,total_publicado,soma_modelos_listados,modelos_listados,cauda_nao_publicada,arquivo_origem
2018-11,automoveis,Grandcab,4199,4198,4,1,2018-11.pdf
2018-11,automoveis,Hatch Médios,1022,986,6,36,2018-11.pdf
2018-11,automoveis,Hatch Pequenos,55765,55738,12,27,2018-11.pdf
2018-11,automoveis,Monocab,3043,3043,7,0,2018-11.pdf
2018-11,automoveis,Sedans Compactos,10675,10646,6,29,2018-11.pdf
2018-11,automoveis,Sedans Grandes,723,653,12,70,2018-11.pdf
2018-11,automoveis,Sedans Pequenos,24646,24644,10,2,2018-11.pdf
2018-11,automoveis,Sedans médios,11723,11714,21,9,2018-11.pdf
2018-11,automoveis,Sports,149,130,9,19,2018-11.pdf
2018-11,automoveis,Suv's,45827,44384,40,1443,2018-11.pdf
2018-11,automoveis,Sw Grandes,49,49,6,0,2018-11.pdf
2018-11,automoveis,Sw Médios,537,537,4,0,2018-11.pdf
2018-11,automoveis,Veículos de Entrada,33761,33756,9,5,2018-11.pdf
2018-11,comerciais_leves,Furgões,2319,1853,7,466,2018-11.pdf
2018-11,comerciais_leves,Furgões Pequenos,1241,1229,4,12,2018-11.pdf
2018-11,comerciais_leves,Pick-up's Grandes,15773,15768,11,5,2018-11.pdf
2018-11,comerciais_leves,Pick-up's Pequenas,9826,9826,5,0,2018-11.pdf
