mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2020-01,automoveis,sub_segmento,Veículos de Entrada,1,RENAULT/KWID,6739,8174,6739,32.64,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Veículos de Entrada,2,VW/GOL,6030,7854,6030,29.20,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Veículos de Entrada,3,FIAT/MOBI,4316,4227,4316,20.90,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Veículos de Entrada,4,TOYOTA/ETIOS HB,1514,2182,1514,7.33,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Veículos de Entrada,5,FIAT/UNO,1138,1128,1138,5.51,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Veículos de Entrada,6,VW/UP,892,1197,892,4.32,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Veículos de Entrada,7,CHERY/QQ,13,10,13,0.06,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Veículos de Entrada,8,VW/FUSCA,5,9,5,0.02,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Veículos de Entrada,9,GM/CHEVETTE,2,0,2,0.01,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Hatch Pequenos,1,GM/ONIX,17463,21442,17463,33.93,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Hatch Pequenos,2,FORD/KA,7334,8921,7334,14.25,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Hatch Pequenos,3,HYUNDAI/HB20,6555,7679,6555,12.74,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Hatch Pequenos,4,VW/POLO,5593,6331,5593,10.87,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Hatch Pequenos,5,FIAT/ARGO,4794,8036,4794,9.32,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Hatch Pequenos,6,RENAULT/SANDERO,3138,5608,3138,6.10,11,texto,2020-01.pdf
2020-01,automoveis,sub_segmento,Hatch Pequenos,7,VW/FOX/CROSS FOX,2958,3425,2958,5.75,11,texto,2020-01.pdf
