mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2016-10,automoveis,sub_segmento,Veículos de Entrada,1,FORD/KA,6193,6611,61558,21.93,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Veículos de Entrada,2,FIAT/PALIO,3821,3920,52474,18.69,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Veículos de Entrada,3,VW/GOL,1861,2185,44879,15.99,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Veículos de Entrada,4,VW/UP,2736,1863,31305,11.15,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Veículos de Entrada,5,TOYOTA/ETIOS HB,3172,2869,31183,11.11,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Veículos de Entrada,6,FIAT/UNO,2327,1595,28060,10.00,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Veículos de Entrada,7,FIAT/MOBI,3372,3264,20461,7.29,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Veículos de Entrada,8,RENAULT/CLIO,174,496,10710,3.82,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Veículos de Entrada,9,GM/CELTA,2,1,68,0.02,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,1,GM/ONIX,14087,12592,119244,33.48,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,2,HYUNDAI/HB20,11350,10020,97248,27.30,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,3,RENAULT/SANDERO,6085,4992,49846,13.99,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,4,VW/FOX/CROSS FOX,2033,2474,38305,10.75,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,5,NISSAN/MARCH,1259,1413,15431,4.33,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,6,FORD/FIESTA,1586,1455,13588,3.81,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,7,CITROEN/C3,724,886,9693,2.72,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,8,PEUGEOT/208,783,756,8471,2.38,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,9,FIAT/500,32,238,1014,0.28,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,10,MINI/COOPER,103,106,881,0.25,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Pequenos,11,CHERY/CELER,28,64,745,0.21,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Médios,1,FIAT/PUNTO,461,477,6998,23.83,11,texto,2016-10.pdf
2016-10,automoveis,sub_segmento,Hatch Médios,2,FORD/FOCUS,496,678,5922,20.17,11,texto,2016-10.pdf
