mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2010-04,automoveis,sub_segmento,Veículos de Entrada,1,VW/GOL,22172,29340,85386,29.36,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Veículos de Entrada,2,FIAT/PALIO,13381,18362,53011,18.23,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Veículos de Entrada,3,GM/CELTA,11545,19943,50425,17.34,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Veículos de Entrada,4,FIAT/UNO,13081,16012,49696,17.09,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Veículos de Entrada,5,FORD/KA,7633,10111,31520,10.84,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Veículos de Entrada,6,PEUGEOT/207,2637,3780,11300,3.89,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Veículos de Entrada,7,RENAULT/CLIO,2587,3743,9437,3.24,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Veículos de Entrada,8,PEUGEOT/206,5,5,41,0.01,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Veículos de Entrada,9,GM/CHEVETTE,0,1,1,0.00,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,1,VW/FOX/CROSS FOX,12601,15074,43381,30.33,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,2,FORD/FIESTA,6947,10907,29490,20.62,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,3,RENAULT/SANDERO,5291,7641,20996,14.68,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,4,GM/AGILE,4084,4794,19746,13.81,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,5,CITROEN/C3,4170,3946,12202,8.53,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,6,GM/CORSA,2711,3853,10918,7.63,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,7,VW/POLO,1340,1592,4844,3.39,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,8,SMART/FORTWO,202,184,600,0.42,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,9,MINI/COOPER,139,137,494,0.35,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,10,FIAT/500,95,91,336,0.23,11,texto,2010-04.pdf
2010-04,automoveis,sub_segmento,Hatch Pequenos,11,CHERY/FACE,22,2,24,0.02,11,texto,2010-04.pdf
