mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2020-09,automoveis,sub_segmento,Veículos de Entrada,1,VW/GOL,9134,7911,46299,33.57,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Veículos de Entrada,2,RENAULT/KWID,4009,2259,34190,24.79,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Veículos de Entrada,3,FIAT/MOBI,5447,4275,30286,21.96,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Veículos de Entrada,4,FIAT/UNO,3334,2721,13163,9.54,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Veículos de Entrada,5,TOYOTA/ETIOS HB,884,960,7406,5.37,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Veículos de Entrada,6,VW/UP,546,914,6507,4.72,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Veículos de Entrada,7,VW/FUSCA,1,5,28,0.02,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Veículos de Entrada,8,CAOA CHERY/QQ,1,1,23,0.02,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Veículos de Entrada,9,GM/CHEVETTE,0,0,6,0.00,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,1,GM/ONIX,11709,10606,92293,28.78,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,2,HYUNDAI/HB20,8565,8489,57749,18.01,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,3,FORD/KA,5955,4617,44410,13.85,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,4,FIAT/ARGO,7984,6039,41505,12.94,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,5,VW/POLO,3360,3426,30865,9.62,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,6,RENAULT/SANDERO,2795,1659,19655,6.13,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,7,TOYOTA/YARIS HB,1894,1783,14100,4.40,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,8,VW/FOX/CROSS FOX,2039,1573,13708,4.27,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,9,NISSAN/MARCH,230,394,2832,0.88,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,10,PEUGEOT/208,412,165,1717,0.54,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,11,CITROEN/C3,95,133,809,0.25,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Pequenos,12,MINI/COOPER,83,86,634,0.20,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Médios,1,GM/CRUZE HB,177,246,2696,74.05,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Médios,2,AUDI/A3,65,58,242,6.65,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Médios,3,BMW/118i,63,52,242,6.65,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Médios,4,M.BENZ/CLASSE A,20,9,186,5.11,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Médios,5,BMW/M135I,5,17,66,1.81,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Hatch Médios,6,BMW/I3,8,10,60,1.65,11,texto,2020-09.pdf
2020-09,automoveis,sub_segmento,Sedans Pequenos,1,FORD/KA SEDAN,2336,1947,18545,20.70,12,texto,2020-09.pdf
