mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2018-08,automoveis,sub_segmento,Veículos de Entrada,1,FORD/KA,10118,9558,67937,28.86,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Veículos de Entrada,2,VW/GOL,6628,6631,45771,19.45,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Veículos de Entrada,3,RENAULT/KWID,6273,5203,41153,17.48,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Veículos de Entrada,4,FIAT/MOBI,4874,3498,33368,14.18,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Veículos de Entrada,5,TOYOTA/ETIOS HB,1445,1790,22744,9.66,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Veículos de Entrada,6,VW/UP,1784,1934,13515,5.74,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Veículos de Entrada,7,FIAT/UNO,2638,883,8282,3.52,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Veículos de Entrada,8,CHERY/QQ,318,265,2199,0.93,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Veículos de Entrada,9,FIAT/PALIO,10,11,366,0.16,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,1,GM/ONIX,21763,16856,128239,33.53,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,2,HYUNDAI/HB20,10589,9124,70131,18.34,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,3,VW/POLO,6544,5827,46509,12.16,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,4,FIAT/ARGO,6166,5476,39625,10.36,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,5,RENAULT/SANDERO,3868,4250,33211,8.68,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,6,VW/FOX/CROSS FOX,3892,3127,25707,6.72,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,7,FORD/FIESTA,1182,1477,11635,3.04,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,8,NISSAN/MARCH,1244,1128,8964,2.34,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,9,TOYOTA/YARIS HB,4091,2872,7177,1.88,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,10,PEUGEOT/208,641,568,5203,1.36,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,11,CITROEN/C3,507,534,4680,1.22,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Pequenos,12,MINI/COOPER,173,122,967,0.25,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Médios,1,GM/CRUZE HB,492,405,3731,40.63,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Médios,2,FORD/FOCUS,310,285,2210,24.06,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Médios,3,VW/GOLF,166,187,2074,22.58,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Médios,4,PEUGEOT/308,46,66,378,4.12,11,texto,2018-08.pdf
2018-08,automoveis,sub_segmento,Hatch Médios,5,VOLVO/V40,34,24,340,3.70,11,texto,2018-08.pdf
