mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2011-07,automoveis,sub_segmento,Veículos de Entrada,1,VW/GOL,25883,27427,171125,31.32,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Veículos de Entrada,2,FIAT/UNO,24925,25430,158309,28.98,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Veículos de Entrada,3,GM/CELTA,12071,13414,84140,15.40,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Veículos de Entrada,4,FIAT/PALIO,8845,8468,56341,10.31,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Veículos de Entrada,5,FORD/KA,6314,5458,38753,7.09,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Veículos de Entrada,6,PEUGEOT/207,3269,3170,21308,3.90,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Veículos de Entrada,7,RENAULT/CLIO,1632,1931,16351,2.99,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Veículos de Entrada,8,PEUGEOT/206,2,1,8,0.00,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Veículos de Entrada,9,GM/CHEVETTE,0,1,1,0.00,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,1,VW/FOX/CROSS FOX,8889,5084,68618,26.09,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,2,FORD/FIESTA,6313,6901,49369,18.77,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,3,GM/AGILE,5389,4913,41369,15.73,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,4,RENAULT/SANDERO,8687,5998,41068,15.62,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,5,CITROEN/C3,3204,3995,23000,8.75,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,6,GM/CORSA,3850,2415,20058,7.63,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,7,JAC/J3,1550,1765,6882,2.62,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,8,VW/POLO,731,806,5290,2.01,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,9,CHERY/QQ,1274,1054,3076,1.17,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,10,CHERY/FACE,580,533,2927,1.11,11,texto,2011-07.pdf
2011-07,automoveis,sub_segmento,Hatch Pequenos,11,LIFAN/LF 320,203,177,1321,0.50,11,texto,2011-07.pdf
