mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2004-01,automoveis,sub_segmento,Veículos de Entrada,1,VW/GOL,16759,18466,16759,35.37,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Veículos de Entrada,2,FIAT/PALIO,9785,16644,9785,20.65,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Veículos de Entrada,3,GM/CELTA,8370,13972,8370,17.66,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Veículos de Entrada,4,FIAT/UNO,5648,14219,5648,11.92,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Veículos de Entrada,5,PEUGEOT/206,2736,4043,2736,5.77,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Veículos de Entrada,6,FORD/KA,2242,2585,2242,4.73,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Veículos de Entrada,7,RENAULT/CLIO,1839,2671,1839,3.88,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Veículos de Entrada,8,PEUGEOT/106,7,0,7,0.01,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Veículos de Entrada,9,GM/CHEVETTE,1,0,1,0.00,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Pequenos,1,FORD/FIESTA,4631,8280,4631,43.76,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Pequenos,2,VW/FOX/CROSS FOX,2298,3422,2298,21.72,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Pequenos,3,GM/CORSA,2025,4220,2025,19.14,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Pequenos,4,VW/POLO,1045,1069,1045,9.88,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Pequenos,5,CITROEN/C3,577,764,577,5.45,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Pequenos,6,RENAULT/TWINGO,6,0,6,0.06,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Médios,1,GM/ASTRA,1150,1948,1150,29.69,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Médios,2,VW/GOLF,1127,1119,1127,29.09,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Médios,3,FORD/FOCUS,666,798,666,17.19,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Médios,4,FIAT/STILO,480,1070,480,12.39,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Médios,5,AUDI/A3,355,629,355,9.16,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Hatch Médios,6,PEUGEOT/307,96,156,96,2.48,10,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Pequenos,1,GM/CLASSIC,3975,7955,3975,44.06,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Pequenos,2,FIAT/SIENA,1944,5881,1944,21.55,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Pequenos,3,GM/CORSA SEDAN,1880,3118,1880,20.84,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Pequenos,4,RENAULT/CLIO SEDAN,1220,1835,1220,13.52,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Pequenos,5,FIAT/PREMIO,1,1,1,0.01,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Pequenos,6,SEAT/CORDOBA,1,1,1,0.01,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Pequenos,7,VW/VOYAGE,1,0,1,0.01,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Pequenos,8,FIAT/DUNA,0,1,0,0.00,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Compactos,1,GM/ASTRA SEDAN,1379,2246,1379,57.67,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Compactos,2,VW/POLO SEDAN,1006,860,1006,42.07,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Compactos,3,FORD/VERSAILLES,4,2,4,0.17,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Compactos,4,GM/MONZA,2,1,2,0.08,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Compactos,5,FORD/VERONA,0,3,0,0.00,11,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,1,TOYOTA/COROLLA,2345,3164,2345,44.90,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,2,HONDA/CIVIC,1318,1838,1318,25.23,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,3,VW/SANTANA,645,743,645,12.35,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,4,FORD/FOCUS SEDAN,445,469,445,8.52,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,5,GM/VECTRA,324,576,324,6.20,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,6,RENAULT/MEGANE,84,74,84,1.61,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,7,FIAT/MAREA,51,97,51,0.98,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,8,M.BENZ/CLASSE C,6,3,6,0.11,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,9,VW/BORA,4,5,4,0.08,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,10,FIAT/TEMPRA,1,0,1,0.02,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,11,DAEWOO/ESPERO,0,1,0,0.00,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,12,HYUNDAI/ELANTRA,0,1,0,0.00,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans médios,13,M.BENZ/CLK,0,8,0,0.00,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,1,VW/PASSAT,79,69,79,23.24,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,2,M.BENZ/C180,49,75,49,14.41,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,3,CITROEN/C5,42,66,42,12.35,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,4,GM/OMEGA,40,73,40,11.76,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,5,FORD/MONDEO,39,14,39,11.47,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,6,BMW/330,20,25,20,5.88,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,7,AUDI/A4,19,32,19,5.59,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,8,BMW/320,12,32,12,3.53,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,9,BMW/530,11,12,11,3.24,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,10,M.BENZ/C230,11,13,11,3.24,12,texto,2004-01.pdf
2004-01,automoveis,sub_segmento,Sedans Grandes,11,TOYOTA/CAMRY,10,5,10,2.94,12,texto,2004-01.pdf
