mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2012-09,automoveis,sub_segmento,Veículos de Entrada,1,VW/GOL,23348,32629,211933,29.37,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Veículos de Entrada,2,FIAT/UNO,20248,30373,197597,27.39,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Veículos de Entrada,3,FIAT/PALIO,14439,21219,130844,18.14,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Veículos de Entrada,4,GM/CELTA,11442,19146,104347,14.46,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Veículos de Entrada,5,FORD/KA,4970,4566,39948,5.54,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Veículos de Entrada,6,PEUGEOT/207,2142,4009,22610,3.13,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Veículos de Entrada,7,RENAULT/CLIO,1158,2531,13906,1.93,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Veículos de Entrada,8,TOYOTA/ETIOS HB,291,0,291,0.04,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Veículos de Entrada,9,GM/CHEVETTE,0,0,5,0.00,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,1,VW/FOX/CROSS FOX,13963,23301,127828,28.48,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,2,FORD/FIESTA,7839,13459,91438,20.37,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,3,RENAULT/SANDERO,7866,11742,73737,16.43,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,4,GM/AGILE,3877,6257,43720,9.74,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,5,NISSAN/MARCH,268,2400,28127,6.27,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,6,GM/CORSA,837,2787,25670,5.72,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,7,CITROEN/C3,3496,3898,24461,5.45,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,8,FIAT/500,840,1443,12948,2.88,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,9,VW/POLO,788,1243,7253,1.62,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,10,JAC/J3,489,787,6991,1.56,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Pequenos,11,CHERY/QQ,473,686,6733,1.50,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Médios,1,FIAT/PUNTO,3515,6153,28529,32.31,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Médios,2,FORD/FOCUS,1712,2781,17782,20.14,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Médios,3,HYUNDAI/I30,1610,1827,15005,17.00,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Médios,4,VW/GOLF,1239,1608,10990,12.45,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Médios,5,NISSAN/TIIDA,454,814,8070,9.14,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Hatch Médios,6,GM/CRUZE HB,1113,1586,7911,8.96,11,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Pequenos,1,GM/CLASSIC,5428,8272,71948,22.65,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Pequenos,2,VW/VOYAGE,7048,9699,68433,21.54,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Pequenos,3,FIAT/SIENA,9750,12478,67493,21.25,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Pequenos,4,GM/PRISMA,3150,6126,31984,10.07,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Pequenos,5,FORD/FIESTA SEDAN,2346,4633,30637,9.64,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Pequenos,6,RENAULT/LOGAN,2859,3683,26230,8.26,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Pequenos,7,NISSAN/VERSA,208,1773,15503,4.88,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Pequenos,8,RENAULT/SYMBOL,571,836,5134,1.62,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Pequenos,9,TOYOTA/ETIOS SEDAN,190,0,190,0.06,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Pequenos,10,GM/CORSA SEDAN,5,4,116,0.04,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Compactos,1,GM/COBALT,4392,6391,48449,48.10,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Compactos,2,HONDA/CITY,2500,4076,21337,21.18,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Compactos,3,VW/POLO SEDAN,1259,1859,10131,10.06,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Compactos,4,PEUGEOT/207 SEDAN,682,1225,8929,8.86,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Compactos,5,FORD/NEW FIESTA,593,1106,7582,7.53,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans Compactos,6,GM/SONIC SEDAN,816,1560,4296,4.27,12,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans médios,1,TOYOTA/COROLLA,3973,4619,40423,21.07,13,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans médios,2,HONDA/CIVIC,3735,6236,36770,19.17,13,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans médios,3,GM/CRUZE SEDAN,3072,4799,30592,15.95,13,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans médios,4,VW/JETTA,1161,2419,17373,9.06,13,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans médios,5,RENAULT/FLUENCE,1234,1842,11819,6.16,13,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans médios,6,NISSAN/SENTRA,220,528,6902,3.60,13,texto,2012-09.pdf
2012-09,automoveis,sub_segmento,Sedans médios,7,HYUNDAI/ELANTRA,756,903,6283,3.28,13,texto,2012-09.pdf
