mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2017-02,automoveis,sub_segmento,Veículos de Entrada,1,FORD/KA,5765,7078,12843,25.57,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Veículos de Entrada,2,VW/GOL,4564,5073,9637,19.19,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Veículos de Entrada,3,FIAT/PALIO,3082,3171,6253,12.45,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Veículos de Entrada,4,FIAT/MOBI,3049,3169,6218,12.38,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Veículos de Entrada,5,TOYOTA/ETIOS HB,2656,3018,5674,11.30,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Veículos de Entrada,6,VW/UP,2666,2755,5421,10.79,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Veículos de Entrada,7,FIAT/UNO,2108,2044,4152,8.27,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Veículos de Entrada,8,RENAULT/CLIO,11,12,23,0.05,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Veículos de Entrada,9,GM/CELTA,2,1,3,0.01,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,1,GM/ONIX,11980,13900,25880,40.39,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,2,HYUNDAI/HB20,6521,7362,13883,21.66,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,3,RENAULT/SANDERO,4181,4277,8458,13.20,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,4,VW/FOX/CROSS FOX,3156,3591,6747,10.53,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,5,NISSAN/MARCH,1597,1339,2936,4.58,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,6,FORD/FIESTA,1293,1422,2715,4.24,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,7,PEUGEOT/208,712,853,1565,2.44,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,8,CITROEN/C3,607,813,1420,2.22,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,9,MINI/COOPER,88,100,188,0.29,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,10,CHERY/QQ,46,40,86,0.13,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Pequenos,11,CHERY/CELER,27,35,62,0.10,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Médios,1,VW/GOLF,377,463,840,25.63,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Médios,2,GM/CRUZE HB,386,441,827,25.24,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Médios,3,FORD/FOCUS,380,326,706,21.54,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Médios,4,FIAT/PUNTO,247,325,572,17.45,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Médios,5,PEUGEOT/308,47,84,131,4.00,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Hatch Médios,6,FIAT/BRAVO,21,12,33,1.01,11,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Pequenos,1,GM/PRISMA,3368,4063,7431,22.67,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Pequenos,2,HYUNDAI/HB20S,2105,2646,4751,14.49,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Pequenos,3,VW/VOYAGE,2442,2181,4623,14.10,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Pequenos,4,TOYOTA/ETIOS SEDAN,2054,2062,4116,12.56,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Pequenos,5,FIAT/SIENA,2015,2007,4022,12.27,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Pequenos,6,RENAULT/LOGAN,1427,1502,2929,8.94,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Pequenos,7,NISSAN/VERSA,964,1461,2425,7.40,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Pequenos,8,FORD/KA SEDAN,1128,1278,2406,7.34,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Pequenos,9,CHERY/CELER SEDAN,20,19,39,0.12,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Pequenos,10,GM/CLASSIC,9,24,33,0.10,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Compactos,1,GM/COBALT,1745,1633,3378,58.69,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Compactos,2,HONDA/CITY,1129,1048,2177,37.82,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Compactos,3,LIFAN/LF 530,52,58,110,1.91,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Compactos,4,JAC/J3 TURIN,33,26,59,1.03,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Compactos,5,FORD/NEW FIESTA,11,19,30,0.52,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans Compactos,6,GM/MONZA,1,0,1,0.02,12,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,1,TOYOTA/COROLLA,3469,4013,7482,39.91,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,2,HONDA/CIVIC,2429,2028,4457,23.78,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,3,GM/CRUZE SEDAN,892,1073,1965,10.48,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,4,FORD/FOCUS SEDAN,329,416,745,3.97,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,5,VW/JETTA,282,355,637,3.40,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,6,CITROEN/C4L,267,319,586,3.13,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,7,NISSAN/SENTRA,224,274,498,2.66,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,8,FORD/FUSION,177,236,413,2.20,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,9,AUDI/A3 SEDAN,109,230,339,1.81,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,10,M.BENZ/CLASSE C,166,151,317,1.69,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,11,MITSUBISHI/LANCER,98,150,248,1.32,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,12,TOYOTA/PRIUS,122,119,241,1.29,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,13,KIA/CERATO,102,107,209,1.11,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,14,RENAULT/FLUENCE,105,75,180,0.96,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,15,HYUNDAI/ELANTRA,79,59,138,0.74,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,16,PEUGEOT/408,54,66,120,0.64,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,17,BMW/430I,11,15,26,0.14,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,18,SUBARU/WRX,16,10,26,0.14,13,texto,2017-02.pdf
2017-02,automoveis,sub_segmento,Sedans médios,19,BMW/220I,12,11,23,0.12,13,texto,2017-02.pdf
