mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2013-12,automoveis,sub_segmento,Veículos de Entrada,1,VW/GOL,24825,20360,255049,32.39,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Veículos de Entrada,2,FIAT/UNO,13113,15851,184360,23.41,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Veículos de Entrada,3,FIAT/PALIO,14009,12816,171861,21.83,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Veículos de Entrada,4,GM/CELTA,6661,5007,74647,9.48,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Veículos de Entrada,5,TOYOTA/ETIOS HB,3021,2425,34801,4.42,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Veículos de Entrada,6,RENAULT/CLIO,3450,2768,29911,3.80,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Veículos de Entrada,7,FORD/KA,1877,1469,26252,3.33,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Veículos de Entrada,8,PEUGEOT/207,481,477,10385,1.32,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Veículos de Entrada,9,VW/UP,108,0,109,0.01,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,1,FORD/FIESTA,16297,12642,136710,18.54,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,2,VW/FOX/CROSS FOX,11886,9397,129925,17.62,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,3,GM/ONIX,11760,10318,122332,16.59,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,4,HYUNDAI/HB20,11319,10065,122320,16.59,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,5,RENAULT/SANDERO,10626,9773,102514,13.90,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,6,CITROEN/C3,3264,2464,33668,4.57,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,7,GM/AGILE,2587,1200,30119,4.08,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,8,NISSAN/MARCH,1536,1588,24255,3.29,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,9,PEUGEOT/208,2613,1862,20729,2.81,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,10,GM/SONIC,596,598,7487,1.02,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Pequenos,11,FIAT/500,610,564,7281,0.99,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Médios,1,FIAT/PUNTO,3159,2706,40407,34.40,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Médios,2,GM/CRUZE HB,2658,1714,22462,19.12,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Médios,3,FORD/FOCUS,1476,1229,20825,17.73,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Médios,4,VW/GOLF,2047,2033,13783,11.73,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Médios,5,PEUGEOT/308,796,867,10931,9.31,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Hatch Médios,6,FIAT/BRAVO,851,500,9060,7.71,11,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Pequenos,1,FIAT/SIENA,13746,11579,129824,25.75,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Pequenos,2,VW/VOYAGE,7136,5929,89758,17.80,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Pequenos,3,GM/CLASSIC,7260,5669,86935,17.24,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Pequenos,4,GM/PRISMA,8383,6943,61301,12.16,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Pequenos,5,HYUNDAI/HB20S,5460,4378,35382,7.02,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Pequenos,6,FORD/FIESTA SEDAN,1265,1676,29048,5.76,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Pequenos,7,TOYOTA/ETIOS SEDAN,2262,1913,27236,5.40,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Pequenos,8,RENAULT/LOGAN,2690,1101,23036,4.57,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Pequenos,9,NISSAN/VERSA,1870,1613,20730,4.11,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Pequenos,10,RENAULT/SYMBOL,5,4,925,0.18,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Compactos,1,GM/COBALT,4320,4433,59685,51.52,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Compactos,2,HONDA/CITY,3175,2464,29243,25.24,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Compactos,3,FORD/NEW FIESTA,1502,1352,8498,7.34,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Compactos,4,VW/POLO SEDAN,682,455,8187,7.07,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Compactos,5,GM/SONIC SEDAN,436,508,5707,4.93,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Compactos,6,PEUGEOT/207 SEDAN,249,226,4534,3.91,12,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,1,HONDA/CIVIC,6092,5637,60966,26.45,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,2,TOYOTA/COROLLA,5850,5136,54102,23.47,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,3,GM/CRUZE SEDAN,2255,1714,26525,11.51,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,4,VW/JETTA,1053,1086,14350,6.23,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,5,RENAULT/FLUENCE,1368,758,13877,6.02,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,6,FORD/FUSION,953,1208,9562,4.15,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,7,FIAT/LINEA,543,435,7531,3.27,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,8,FORD/FOCUS SEDAN,444,411,7172,3.11,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,9,NISSAN/SENTRA,1073,855,6750,2.93,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,10,KIA/CERATO,609,425,6060,2.63,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,11,MITSUBISHI/LANCER,540,348,5740,2.49,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,12,PEUGEOT/408,299,318,4634,2.01,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,13,HYUNDAI/ELANTRA,363,460,4197,1.82,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,14,CITROEN/C4L,931,913,3055,1.33,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,15,CITROEN/C4 PALLAS,22,18,2489,1.08,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,16,JAC/J5,78,69,1311,0.57,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,17,AUDI/A5,78,76,789,0.34,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,18,M.BENZ/CLASSE C,82,74,743,0.32,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,19,TOYOTA/PRIUS,12,10,324,0.14,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,20,LIFAN/LF 620,2,3,183,0.08,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans médios,21,NISSAN/ALTIMA,85,51,146,0.06,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,1,BMW/320,532,593,5880,33.75,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,2,M.BENZ/C180,545,403,4041,23.20,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,3,HYUNDAI/AZERA,188,254,2198,12.62,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,4,BMW/328,101,98,1202,6.90,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,5,VW/PASSAT,87,90,1045,6.00,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,6,CITROEN/DS5,65,45,895,5.14,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,7,KIA/OPTIMA,24,24,537,3.08,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,8,M.BENZ/CLASSE E,50,48,420,2.41,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,9,HYUNDAI/SONATA,17,38,414,2.38,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,10,M.BENZ/C 250,20,27,269,1.54,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,11,CHRYSLER/300C,29,18,267,1.53,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sedans Grandes,12,BMW/528,2,12,252,1.45,13,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Médios,1,FIAT/PALIO WEEKEND,1861,2518,20704,50.27,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Médios,2,VW/SPACE FOX,1129,1885,16324,39.64,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Médios,3,VW/SPACECROSS,292,319,3983,9.67,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Médios,4,AUDI/A4,18,9,174,0.42,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Grandes,1,RENAULT/MEGANE GT,1,0,195,37.57,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Grandes,2,VOLVO/V60,6,7,163,31.41,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Grandes,3,VW/JETTA VARIANT,1,3,133,25.63,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Grandes,4,AUDI/A4 AVANT,0,0,17,3.28,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Grandes,5,AUDI/RS4,0,0,9,1.73,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Grandes,6,DODGE/CARAVAN,0,0,1,0.19,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sw Grandes,7,VW/PASSAT,1,0,1,0.19,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,1,HONDA/FIT,4049,3118,40634,41.15,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,2,FIAT/IDEA,1949,2019,23450,23.75,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,3,FIAT/DOBLO,815,492,10442,10.58,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,4,NISSAN/LIVINA,855,817,9542,9.66,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,5,CITROEN/C3 PICASSO,595,381,6582,6.67,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,6,KIA/PICANTO,412,433,4353,4.41,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,7,M.BENZ/A 200,169,199,1285,1.30,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,8,M.BENZ/CLASSE B,33,35,1025,1.04,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,9,SUZUKI/SX4,61,63,950,0.96,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,10,RENAULT/KANGOO,69,3,399,0.40,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Monocab,11,EFFA/M100,3,5,78,0.08,14,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Grandcab,1,GM/SPIN,3766,3677,41983,92.48,15,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Grandcab,2,CITROEN/C4 PICASSO,210,143,1704,3.75,15,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Grandcab,3,JAC/J6,184,78,1470,3.24,15,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Grandcab,4,CHRYSLER/TOWN COUNTRY,18,27,238,0.52,15,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sports,1,GM/CAMARO,140,59,1108,37.91,15,texto,2013-12.pdf
2013-12,automoveis,sub_segmento,Sports,2,M.BENZ/SLK,40,29,516,17.65,15,texto,2013-12.pdf
