mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2023-05,automoveis,sub_segmento,Veículos de Entrada,1,FIAT/MOBI,4196,4686,23547,46.93,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Veículos de Entrada,2,RENAULT/KWID,2725,4151,20713,41.28,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Veículos de Entrada,3,VW/GOL,225,318,5842,11.64,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Veículos de Entrada,4,VW/FUSCA,8,8,44,0.09,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Veículos de Entrada,5,FIAT/UNO,3,1,17,0.03,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Veículos de Entrada,6,VW/UP,1,0,4,0.01,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Veículos de Entrada,7,FIAT/PALIO,1,0,3,0.01,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Veículos de Entrada,8,GM/CHEVETTE,0,1,2,0.00,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Veículos de Entrada,9,FIAT/147,0,0,1,0.00,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,1,GM/ONIX,6947,7376,35849,23.49,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,2,VW/POLO,7636,6063,27773,18.20,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,3,HYUNDAI/HB20,4245,7143,27582,18.08,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,4,FIAT/ARGO,4710,5475,25173,16.50,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,5,TOYOTA/YARIS HB,2458,1818,9940,6.51,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,6,PEUGEOT/208,2463,1901,8828,5.79,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,7,CITROEN/C3,1607,1965,8408,5.51,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,8,HONDA/CITY HATCH,968,867,5849,3.83,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,9,RENAULT/SANDERO,598,419,2555,1.67,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,10,MINI/COOPER,73,74,316,0.21,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,11,JAC/E-JS1,63,34,188,0.12,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Pequenos,12,CAOA CHERY/ICAR,11,13,38,0.02,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Médios,1,GM/CRUZE HB,45,41,171,35.77,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Médios,2,AUDI/A3,36,20,134,28.03,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Médios,3,NISSAN/LEAF,6,5,105,21.97,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Médios,4,M.BENZ/CLASSE A,5,0,20,4.18,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Médios,5,BMW/118i,2,5,12,2.51,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Hatch Médios,6,BMW/I3,1,0,11,2.30,11,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Pequenos,1,FIAT/CRONOS,2950,3701,14227,56.20,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Pequenos,2,HYUNDAI/HB20S,1384,1916,8107,32.02,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Pequenos,3,VW/VOYAGE,4,1,2067,8.16,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Pequenos,4,RENAULT/LOGAN,171,142,893,3.53,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Pequenos,5,FIAT/SIENA,0,3,15,0.06,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Pequenos,6,TOYOTA/ETIOS SEDAN,0,0,2,0.01,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Pequenos,7,FORD/FIESTA SEDAN,0,0,1,0.00,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Pequenos,8,FORD/KA SEDAN,0,0,1,0.00,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Pequenos,9,GM/CLASSIC,0,0,1,0.00,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Pequenos,10,GM/CORSA SEDAN,0,0,1,0.00,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Compactos,1,GM/ONIX PLUS,5624,5295,29310,58.80,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Compactos,2,VW/VIRTUS,2744,2091,7501,15.05,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Compactos,3,HONDA/CITY,1151,964,5538,11.11,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Compactos,4,TOYOTA/YARIS SEDAN,1068,891,4763,9.55,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Compactos,5,NISSAN/VERSA,673,632,2729,5.47,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans Compactos,6,FORD/CORCEL,0,1,5,0.01,12,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,1,TOYOTA/COROLLA,3891,3261,16101,81.29,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,2,NISSAN/SENTRA,636,450,1545,7.80,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,3,GM/CRUZE SEDAN,126,117,461,2.33,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,4,VW/JETTA,186,61,460,2.32,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,5,HONDA/CIVIC,7,33,315,1.59,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,6,CAOA CHERY/ARRIZO 6,51,71,291,1.47,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,7,AUDI/A3 SEDAN,58,41,216,1.09,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,8,AUDI/A5,32,25,196,0.99,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,9,M.BENZ/CLA45,1,7,52,0.26,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,10,BMW/218I,11,4,44,0.22,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,11,BMW/420I,5,8,42,0.21,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,12,M.BENZ/CLA35,5,5,32,0.16,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,13,JAC/E-J7,1,6,21,0.11,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,14,HYUNDAI/IONIQ,11,0,12,0.06,13,texto,2023-05.pdf
2023-05,automoveis,sub_segmento,Sedans médios,15,KIA/CERATO,2,0,11,0.06,13,texto,2023-05.pdf
