mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2012-02,automoveis,sub_segmento,Veículos de Entrada,1,VW/GOL,18597,19037,37634,27.91,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Veículos de Entrada,2,FIAT/UNO,18339,17717,36056,26.74,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Veículos de Entrada,3,FIAT/PALIO,11558,11388,22946,17.02,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Veículos de Entrada,4,GM/CELTA,8654,12856,21510,15.95,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Veículos de Entrada,5,FORD/KA,3703,4047,7750,5.75,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Veículos de Entrada,6,RENAULT/CLIO,2069,2538,4607,3.42,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Veículos de Entrada,7,PEUGEOT/207,2007,2333,4340,3.22,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Veículos de Entrada,8,GM/CHEVETTE,1,1,2,0.00,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Veículos de Entrada,9,VW/FUSCA,0,1,1,0.00,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,1,VW/FOX/CROSS FOX,10561,9544,20105,25.12,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,2,FORD/FIESTA,8277,6880,15157,18.94,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,3,RENAULT/SANDERO,6024,5845,11869,14.83,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,4,GM/AGILE,4802,5428,10230,12.78,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,5,GM/CORSA,2361,3437,5798,7.24,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,6,NISSAN/MARCH,2664,2553,5217,6.52,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,7,CITROEN/C3,2194,2437,4631,5.79,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,8,FIAT/500,1467,1131,2598,3.25,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,9,CHERY/QQ,871,817,1688,2.11,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,10,JAC/J3,768,738,1506,1.88,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Pequenos,11,VW/POLO,643,604,1247,1.56,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Médios,1,FIAT/PUNTO,2478,2729,5207,31.54,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Médios,2,HYUNDAI/I30,1557,1866,3423,20.73,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Médios,3,FORD/FOCUS,1198,1472,2670,16.17,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Médios,4,VW/GOLF,916,1038,1954,11.84,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Médios,5,NISSAN/TIIDA,988,831,1819,11.02,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Hatch Médios,6,CITROEN/C4,611,825,1436,8.70,11,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Pequenos,1,GM/CLASSIC,7198,9594,16792,28.59,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Pequenos,2,VW/VOYAGE,6638,6404,13042,22.20,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Pequenos,3,FIAT/SIENA,4083,4152,8235,14.02,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Pequenos,4,GM/PRISMA,2866,3895,6761,11.51,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Pequenos,5,FORD/FIESTA SEDAN,2757,2778,5535,9.42,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Pequenos,6,RENAULT/LOGAN,2313,2156,4469,7.61,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Pequenos,7,NISSAN/VERSA,1202,1581,2783,4.74,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Pequenos,8,RENAULT/SYMBOL,501,553,1054,1.79,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Pequenos,9,GM/CORSA SEDAN,27,39,66,0.11,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Pequenos,10,GM/CORVETTE,2,1,3,0.01,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Compactos,1,GM/COBALT,3660,5904,9564,54.79,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Compactos,2,HONDA/CITY,1123,766,1889,10.82,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Compactos,3,PEUGEOT/207 SEDAN,775,953,1728,9.90,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Compactos,4,FORD/NEW FIESTA,797,930,1727,9.89,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Compactos,5,VW/POLO SEDAN,794,761,1555,8.91,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Compactos,6,JAC/J3 TURIN,498,495,993,5.69,12,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,1,TOYOTA/COROLLA,3676,3625,7301,21.86,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,2,GM/CRUZE SEDAN,2826,2662,5488,16.43,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,3,HONDA/CIVIC,2960,1374,4334,12.98,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,4,VW/JETTA,2241,2093,4334,12.98,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,5,RENAULT/FLUENCE,1086,1426,2512,7.52,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,6,NISSAN/SENTRA,879,859,1738,5.20,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,7,FIAT/LINEA,705,674,1379,4.13,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,8,FORD/FOCUS SEDAN,658,390,1048,3.14,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,9,PEUGEOT/408,490,420,910,2.72,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,10,CITROEN/C4 PALLAS,379,457,836,2.50,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,11,FORD/FUSION,336,486,822,2.46,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,12,HYUNDAI/ELANTRA,351,436,787,2.36,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,13,KIA/CERATO,353,322,675,2.02,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,14,MITSUBISHI/LANCER,282,238,520,1.56,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,15,M.BENZ/CLASSE C,76,141,217,0.65,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,16,PEUGEOT/307 SEDAN,98,104,202,0.60,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,17,LIFAN/LF 620,49,42,91,0.27,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,18,GM/VECTRA,25,52,77,0.23,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,19,CHERY/CIELO SEDAN,32,27,59,0.18,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,20,AUDI/A5,7,27,34,0.10,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans médios,21,M.BENZ/CLS,15,19,34,0.10,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,1,HYUNDAI/SONATA,403,543,946,30.70,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,2,HYUNDAI/AZERA,323,606,929,30.15,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,3,BMW/318,94,172,266,8.63,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,4,VW/PASSAT,125,127,252,8.18,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,5,AUDI/A4,63,83,146,4.74,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,6,GM/OMEGA,68,66,134,4.35,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,7,VOLVO/S60,51,72,123,3.99,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,8,CITROEN/C5,18,49,67,2.17,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,9,KIA/CADENZA,36,23,59,1.91,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,10,M.BENZ/CLASSE E,27,30,57,1.85,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,11,GM/MALIBU,17,34,51,1.66,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sedans Grandes,12,M.BENZ/C 250,23,28,51,1.66,13,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sw Médios,1,FIAT/PALIO WEEKEND,1611,1719,3330,42.01,14,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sw Médios,2,VW/SPACE FOX,1452,1577,3029,38.22,14,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sw Médios,3,VW/SPACECROSS,447,538,985,12.43,14,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sw Médios,4,VW/PARATI,303,279,582,7.34,14,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sw Grandes,1,RENAULT/MEGANE GT,1131,1088,2219,90.39,14,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sw Grandes,2,VW/JETTA VARIANT,121,111,232,9.45,14,texto,2012-02.pdf
2012-02,automoveis,sub_segmento,Sw Grandes,3,VW/PASSAT VAR,0,2,2,0.08,14,texto,2012-02.pdf
