mes,segmento,origem_tabela,sub_segmento_fonte,posicao_fonte,nome_completo_fonte,unidades_mes,unidades_mes_anterior,unidades_acumulado,participacao_pct,pagina,metodo_extracao,arquivo_origem
2018-05,automoveis,sub_segmento,Veículos de Entrada,1,FORD/KA,7639,8764,40429,28.11,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Veículos de Entrada,2,VW/GOL,5780,5447,27483,19.11,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Veículos de Entrada,3,RENAULT/KWID,4371,6616,24674,17.16,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Veículos de Entrada,4,FIAT/MOBI,4023,4204,20562,14.30,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Veículos de Entrada,5,TOYOTA/ETIOS HB,3361,3968,16603,11.54,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Veículos de Entrada,6,VW/UP,1447,1654,8005,5.57,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Veículos de Entrada,7,FIAT/UNO,705,655,4334,3.01,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Veículos de Entrada,8,CHERY/QQ,244,244,1377,0.96,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Veículos de Entrada,9,FIAT/PALIO,14,15,335,0.23,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,1,GM/ONIX,15015,16616,73403,33.03,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,2,HYUNDAI/HB20,8513,9603,42128,18.95,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,3,VW/POLO,5628,5817,29165,13.12,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,4,FIAT/ARGO,4682,4951,22499,10.12,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,5,RENAULT/SANDERO,3706,5814,18955,8.53,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,6,VW/FOX/CROSS FOX,3133,3286,15428,6.94,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,7,FORD/FIESTA,1536,1693,7551,3.40,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,8,NISSAN/MARCH,854,1107,5554,2.50,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,9,PEUGEOT/208,669,684,3465,1.56,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,10,CITROEN/C3,604,643,3173,1.43,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,11,MINI/COOPER,97,101,571,0.26,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Pequenos,12,KIA/PICANTO,0,5,115,0.05,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Médios,1,GM/CRUZE HB,435,410,2491,41.81,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Médios,2,VW/GOLF,302,475,1431,24.02,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Médios,3,FORD/FOCUS,237,279,1331,22.34,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Médios,4,VOLVO/V40,42,50,239,4.01,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Médios,5,PEUGEOT/308,34,47,214,3.59,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Hatch Médios,6,LEXUS/CT200H,20,24,80,1.34,11,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Pequenos,1,GM/PRISMA,5022,6635,28039,24.71,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Pequenos,2,FORD/KA SEDAN,2923,3525,13668,12.04,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Pequenos,3,TOYOTA/ETIOS SEDAN,2472,3254,13077,11.52,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Pequenos,4,HYUNDAI/HB20S,2512,2651,12777,11.26,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Pequenos,5,VW/VOYAGE,2323,2825,12638,11.14,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Pequenos,6,NISSAN/VERSA,2543,2124,10211,9.00,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Pequenos,7,FIAT/CRONOS,3148,3382,8186,7.21,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Pequenos,8,RENAULT/LOGAN,1351,2537,7601,6.70,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Pequenos,9,FIAT/SIENA,1465,1390,7245,6.38,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Pequenos,10,CHERY/CELER SEDAN,3,2,35,0.03,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Compactos,1,VW/VIRTUS,4271,3862,12732,49.16,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Compactos,2,GM/COBALT,1579,1284,6675,25.77,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Compactos,3,HONDA/CITY,1171,1454,5315,20.52,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Compactos,4,FORD/NEW FIESTA,213,174,921,3.56,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Compactos,5,LIFAN/LF 530,58,51,243,0.94,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Compactos,6,TOYOTA/YARIS SEDAN,11,0,11,0.04,12,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,1,TOYOTA/COROLLA,4854,5664,24267,40.48,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,2,HONDA/CIVIC,2560,2763,10976,18.31,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,3,GM/CRUZE SEDAN,1681,1645,8361,13.95,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,4,VW/JETTA,290,239,1977,3.30,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,5,FORD/FOCUS SEDAN,448,531,1971,3.29,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,6,FORD/FUSION,421,378,1734,2.89,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,7,NISSAN/SENTRA,253,315,1527,2.55,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,8,CITROEN/C4L,325,369,1515,2.53,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,9,KIA/CERATO,266,310,1469,2.45,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,10,M.BENZ/CLASSE C,357,360,1425,2.38,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,11,TOYOTA/PRIUS,237,251,1179,1.97,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,12,AUDI/A3 SEDAN,123,133,826,1.38,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,13,HYUNDAI/ELANTRA,142,231,636,1.06,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,14,RENAULT/FLUENCE,44,60,633,1.06,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,15,MITSUBISHI/LANCER,117,123,530,0.88,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,16,PEUGEOT/408,98,175,358,0.60,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,17,AUDI/A5,64,45,227,0.38,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,18,BMW/220I,61,42,188,0.31,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,19,BMW/430I,15,9,47,0.08,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,20,AUDI/RS3,6,6,42,0.07,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans médios,21,BMW/M240I,9,8,28,0.05,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,1,BMW/320,349,294,1226,29.16,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,2,VW/PASSAT,117,115,546,12.99,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,3,M.BENZ/CLA180,197,152,520,12.37,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,4,AUDI/A4,61,103,423,10.06,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,5,M.BENZ/CLASSE C,73,79,405,9.63,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,6,M.BENZ/CLASSE E,28,18,145,3.45,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,7,BMW/328,33,24,116,2.76,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,8,JAGUAR/XE,16,11,109,2.59,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,9,M.BENZ/CLA200,13,19,93,2.21,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,10,TOYOTA/CAMRY,23,51,88,2.09,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,11,BMW/530,20,13,77,1.83,13,texto,2018-05.pdf
2018-05,automoveis,sub_segmento,Sedans Grandes,12,PORSCHE/PANAMERA,10,21,72,1.71,13,texto,2018-05.pdf
