mes,segmento,nome_completo_fonte,valor_ranking,valor_sub_segmento,diferenca,arquivo_origem
2016-04,comerciais_leves,RENAULT/MASTER,773,771,2,2016-04.pdf
2016-05,automoveis,FIAT/DOBLO,531,529,2,2016-05.pdf
2016-05,comerciais_leves,RENAULT/MASTER,503,501,2,2016-05.pdf
2016-06,comerciais_leves,RENAULT/MASTER,615,614,1,2016-06.pdf
2016-07,automoveis,FORD/FIESTA,1140,1130,10,2016-07.pdf
2016-07,automoveis,HONDA/CIVIC,685,683,2,2016-07.pdf
2016-07,comerciais_leves,VW/SAVEIRO,3905,3904,1,2016-07.pdf
2016-07,comerciais_leves,RENAULT/MASTER,532,530,2,2016-07.pdf
2016-08,automoveis,FORD/KA,7043,7042,1,2016-08.pdf
2016-08,automoveis,TOYOTA/COROLLA,6030,6028,2,2016-08.pdf
2016-08,automoveis,FORD/FIESTA,1543,1496,47,2016-08.pdf
2016-08,automoveis,HONDA/CIVIC,596,451,145,2016-08.pdf
2016-08,comerciais_leves,RENAULT/MASTER,530,529,1,2016-08.pdf
2016-08,comerciais_leves,FIAT/DOBLO,216,214,2,2016-08.pdf
2016-09,comerciais_leves,FIAT/STRADA,4409,4407,2,2016-09.pdf
2016-09,comerciais_leves,RENAULT/MASTER,544,542,2,2016-09.pdf
2016-10,automoveis,JEEP/RENEGADE,4810,4804,6,2016-10.pdf
2016-11,automoveis,JEEP/RENEGADE,3389,3351,38,2016-11.pdf
2016-11,automoveis,FORD/FUSION,410,379,31,2016-11.pdf
2016-11,comerciais_leves,FIAT/DOBLO,30,29,1,2016-11.pdf
2016-11,comerciais_leves,FIAT/UNO,1,0,1,2016-11.pdf
2016-12,comerciais_leves,RENAULT/MASTER,553,551,2,2016-12.pdf
2016-12,comerciais_leves,FIAT/UNO,1,0,1,2016-12.pdf
2017-02,comerciais_leves,RENAULT/MASTER,452,451,1,2017-02.pdf
2017-03,comerciais_leves,RENAULT/MASTER,566,565,1,2017-03.pdf
2017-04,automoveis,CITROEN/C3,737,734,3,2017-04.pdf
2017-04,comerciais_leves,FIAT/STRADA,3122,3121,1,2017-04.pdf
2017-04,comerciais_leves,RENAULT/MASTER,352,350,2,2017-04.pdf
2017-05,automoveis,CITROEN/C3,784,757,27,2017-05.pdf
2017-06,automoveis,CITROEN/C3,1040,802,238,2017-06.pdf
2017-06,comerciais_leves,FIAT/STRADA,4024,4023,1,2017-06.pdf
2017-07,comerciais_leves,VW/SAVEIRO,3811,3810,1,2017-07.pdf
2017-07,comerciais_leves,FIAT/STRADA,3526,3525,1,2017-07.pdf
2017-09,comerciais_leves,VW/SAVEIRO,3292,3288,4,2017-09.pdf
2017-09,comerciais_leves,RENAULT/MASTER,396,395,1,2017-09.pdf
2017-10,comerciais_leves,RENAULT/MASTER,490,488,2,2017-10.pdf
2017-11,automoveis,FORD/KA,9067,8864,203,2017-11.pdf
2017-11,comerciais_leves,FIAT/STRADA,5295,5292,3,2017-11.pdf
2017-11,comerciais_leves,RENAULT/MASTER,600,598,2,2017-11.pdf
2017-12,automoveis,FORD/KA,7881,7649,232,2017-12.pdf
2017-12,comerciais_leves,FIAT/STRADA,6903,6902,1,2017-12.pdf
2017-12,comerciais_leves,RENAULT/MASTER,616,615,1,2017-12.pdf
2018-01,automoveis,VW/FOX/CROSS FOX,3102,3096,6,2018-01.pdf
2018-02,automoveis,VW/FOX/CROSS FOX,2581,2576,5,2018-02.pdf
2018-02,comerciais_leves,VW/SAVEIRO,2957,2956,1,2018-02.pdf
2018-02,comerciais_leves,RENAULT/MASTER,466,465,1,2018-02.pdf
2018-03,automoveis,VW/FOX/CROSS FOX,3349,3337,12,2018-03.pdf
2018-03,comerciais_leves,FIAT/STRADA,5595,5594,1,2018-03.pdf
2018-03,comerciais_leves,RENAULT/MASTER,578,577,1,2018-03.pdf
2018-04,automoveis,VW/FOX/CROSS FOX,3292,3286,6,2018-04.pdf
2018-04,comerciais_leves,VW/SAVEIRO,4490,4489,1,2018-04.pdf
2018-04,comerciais_leves,RENAULT/MASTER,629,628,1,2018-04.pdf
2018-05,automoveis,VW/FOX/CROSS FOX,3138,3133,5,2018-05.pdf
2018-05,comerciais_leves,FIAT/STRADA,5581,5577,4,2018-05.pdf
2018-05,comerciais_leves,RENAULT/MASTER,577,576,1,2018-05.pdf
2018-06,automoveis,VW/FOX/CROSS FOX,3265,3260,5,2018-06.pdf
2018-06,comerciais_leves,FIAT/STRADA,5474,5472,2,2018-06.pdf
2018-06,comerciais_leves,VW/SAVEIRO,3744,3739,5,2018-06.pdf
2018-06,comerciais_leves,RENAULT/MASTER,554,553,1,2018-06.pdf
2018-07,automoveis,VW/FOX/CROSS FOX,3130,3127,3,2018-07.pdf
2018-07,comerciais_leves,FIAT/STRADA,5765,5760,5,2018-07.pdf
2018-07,comerciais_leves,VW/SAVEIRO,3635,3634,1,2018-07.pdf
2018-08,automoveis,VW/FOX/CROSS FOX,3894,3892,2,2018-08.pdf
2018-08,comerciais_leves,FIAT/STRADA,6119,6118,1,2018-08.pdf
2018-08,comerciais_leves,VW/SAVEIRO,4237,4236,1,2018-08.pdf
2018-08,comerciais_leves,RENAULT/MASTER,755,754,1,2018-08.pdf
2018-09,automoveis,VW/FOX/CROSS FOX,2919,2917,2,2018-09.pdf
2018-09,comerciais_leves,FIAT/STRADA,4696,4693,3,2018-09.pdf
2018-09,comerciais_leves,VW/SAVEIRO,4334,4326,8,2018-09.pdf
2018-09,comerciais_leves,RENAULT/MASTER,611,609,2,2018-09.pdf
2018-10,automoveis,VW/FOX/CROSS FOX,3792,3791,1,2018-10.pdf
2018-10,comerciais_leves,FIAT/STRADA,7199,7189,10,2018-10.pdf
2018-10,comerciais_leves,VW/SAVEIRO,4083,4065,18,2018-10.pdf
2018-11,automoveis,FORD/KA,8834,8833,1,2018-11.pdf
2018-11,automoveis,VW/FOX/CROSS FOX,3330,3329,1,2018-11.pdf
2018-11,comerciais_leves,FIAT/STRADA,5158,5149,9,2018-11.pdf
2018-11,comerciais_leves,VW/SAVEIRO,3516,3508,8,2018-11.pdf
2018-12,automoveis,VW/FOX/CROSS FOX,3470,3469,1,2018-12.pdf
2018-12,comerciais_leves,FIAT/STRADA,5780,5770,10,2018-12.pdf
2018-12,comerciais_leves,RENAULT/MASTER,692,690,2,2018-12.pdf
2019-01,comerciais_leves,FIAT/STRADA,4790,4781,9,2019-01.pdf
2019-01,comerciais_leves,RENAULT/MASTER,740,738,2,2019-01.pdf
2019-02,comerciais_leves,FIAT/STRADA,6553,6545,8,2019-02.pdf
2019-02,comerciais_leves,VW/SAVEIRO,2928,2927,1,2019-02.pdf
2019-02,comerciais_leves,RENAULT/MASTER,769,767,2,2019-02.pdf
2019-03,automoveis,VW/FOX/CROSS FOX,3451,3450,1,2019-03.pdf
2019-03,comerciais_leves,FIAT/STRADA,5286,5285,1,2019-03.pdf
2019-03,comerciais_leves,RENAULT/MASTER,658,657,1,2019-03.pdf
2019-04,comerciais_leves,VW/SAVEIRO,3341,3340,1,2019-04.pdf
2019-04,comerciais_leves,RENAULT/MASTER,753,752,1,2019-04.pdf
2019-05,comerciais_leves,VW/SAVEIRO,3687,3686,1,2019-05.pdf
2019-05,comerciais_leves,RENAULT/MASTER,775,774,1,2019-05.pdf
2019-07,comerciais_leves,CITROEN/BERLINGO,65,64,1,2019-07.pdf
2019-09,comerciais_leves,FORD/F100,2,1,1,2019-09.pdf
2019-10,automoveis,VW/FOX/CROSS FOX,2764,2762,2,2019-10.pdf
