marca,familia,mecanismo,variantes_painel,variantes_planilha,variantes_a_mais_na_planilha,nomes_painel,nomes_planilha,unidades_painel,unidades_planilha
LIFAN,530,ausente do painel,0,1,1,,530,0,3029
JAGUAR,E,ausente do painel,0,1,1,,E PACE,0,2815
LEXUS,NX,ausente do painel,0,1,1,,NX,0,2449
KIA,CARNIVAL,colapso de variante (volume confere),1,2,1,CARNIVAL,CARNIVAL | GRAND CARNIVAL,1838,1849
JEEP,WRANGLER,ausente do painel,0,1,1,,WRANGLER,0,1605
JAC,E,colapso de variante,2,3,1,E J7 | E JS1,E J7 | E JS1 | E JS4,1024,1412
LEXUS,UX,ausente do painel,0,1,1,,UX,0,1309
RELY,PICK,ausente do painel,0,1,1,,PICK UP,0,1286
AUDI,Q7,ausente do painel,0,1,1,,Q7,0,1231
PEUGEOT,5008,ausente do painel,0,1,1,,5008,0,1210
AUDI,TT,colapso de variante,1,2,1,TT,TT COUPE | TT RS COUPE,1089,1176
SMART,FORTWO,ausente do painel,0,1,1,,FORTWO,0,1006
VOLVO,C40,ausente do painel,0,1,1,,C40,0,964
CAOA CHERY,FACE,ausente do painel,0,1,1,,FACE,0,900
AUDI,E,colapso de variante,1,2,1,E TRON GT,E TRON | E TRON SPORTBACK,73,740
FORD,F,ausente do painel,0,1,1,,F 150,0,726
VW,TOUAREG,ausente do painel,0,1,1,,TOUAREG,0,726
FOTON,1039,ausente do painel,0,1,1,,1039,0,712
MINI,CABRIO,ausente do painel,0,1,1,,CABRIO,0,708
SUBARU,IMPREZA,ausente do painel,0,1,1,,IMPREZA,0,650
GEELY,EC7,ausente do painel,0,1,1,,EC7,0,644
LEXUS,CT,ausente do painel,0,1,1,,CT,0,571
GEELY,GC2,ausente do painel,0,1,1,,GC2,0,566
BMW,M1,ausente do painel,0,1,1,,M1,0,520
LEXUS,ES,ausente do painel,0,1,1,,ES,0,508
HYUNDAI,VELOSTER,ausente do painel,0,1,1,,VELOSTER,0,432
JAC,T60,ausente do painel,0,1,1,,T60,0,368
AUDI,S3,ausente do painel,0,1,1,,S3 SPORTBACK,0,347
MAHINDRA,PIK,ausente do painel,0,1,1,,PIK UP,0,338
MAHINDRA,JIPE,ausente do painel,0,1,1,,JIPE,0,324
LEXUS,RX,ausente do painel,0,1,1,,RX,0,319
KIA,NIRO,ausente do painel,0,1,1,,NIRO,0,318
LIFAN,X80,ausente do painel,0,1,1,,X80,0,318
SUZUKI,SWIFT,ausente do painel,0,1,1,,SWIFT,0,290
SHINERAY,T20,ausente do painel,0,1,1,,T20,0,283
AUDI,SQ5,ausente do painel,0,1,1,,SQ5,0,279
JAGUAR,I,ausente do painel,0,1,1,,I PACE,0,264
BMW,M5,ausente do painel,0,1,1,,M5,0,252
BYD,TAN,ausente do painel,0,1,1,,TAN,0,251
SSANGYONG,KYRON,ausente do painel,0,1,1,,KYRON,0,232
KIA,CADENZA,ausente do painel,0,1,1,,CADENZA,0,223
BMW,IX,ausente do painel,0,1,1,,IX,0,222
MINI,CLUBMAN,ausente do painel,0,1,1,,CLUBMAN,0,200
BMW,X7,ausente do painel,0,1,1,,X7,0,180
SHINERAY,T22,ausente do painel,0,1,1,,T22,0,173
AUDI,A7,ausente do painel,0,1,1,,A7 SPORTBACK,0,169
M BENZ,GLS,ausente do painel,0,1,1,,GLS,0,169
CHRYSLER,300,ausente do painel,0,1,1,,300,0,161
MINI,PACEMAN,ausente do painel,0,1,1,,PACEMAN,0,146
JAC,T80,ausente do painel,0,1,1,,T80,0,145
KIA,MOHAVE,ausente do painel,0,1,1,,MOHAVE,0,123
LEXUS,IS,ausente do painel,0,1,1,,IS,0,121
AGRALE,MARRUA,ausente do painel,0,1,1,,MARRUA,0,117
MASERATI,LEVANTE,ausente do painel,0,1,1,,LEVANTE,0,114
BMW,IX3,ausente do painel,0,1,1,,IX3,0,94
MINI,ELECTRIC,ausente do painel,0,1,1,,ELECTRIC,0,93
JAGUAR,XJ,ausente do painel,0,1,1,,XJ,0,81
PEUGEOT,508,ausente do painel,0,1,1,,508,0,65
BMW,M8,ausente do painel,0,1,1,,M8,0,60
LIFAN,320,ausente do painel,0,1,1,,320,0,53
MINI,ROADSTER,ausente do painel,0,1,1,,ROADSTER,0,46
AUDI,A8,ausente do painel,0,1,1,,A8,0,44
SSANGYONG,REXTON,ausente do painel,0,1,1,,REXTON,0,44
CAOA CHERY,S,ausente do painel,0,1,1,,S 18,0,41
FERRARI,458,ausente do painel,0,1,1,,458,0,40
KIA,STINGER,ausente do painel,0,1,1,,STINGER,0,37
FERRARI,F8,colapso de variante,1,2,1,F8 SPIDER,F8 SPIDER | F8 TRIBUTO,2,33
HYUNDAI,EQUUS,ausente do painel,0,1,1,,EQUUS,0,33
MINI,COUPE,ausente do painel,0,1,1,,COUPE,0,32
HYUNDAI,HD,ausente do painel,0,1,1,,HD 80,0,31
MASERATI,GHIBLI,ausente do painel,0,1,1,,GHIBLI,0,31
HYUNDAI,GENESIS,ausente do painel,0,1,1,,GENESIS,0,30
JAC,IEV750V,ausente do painel,0,1,1,,IEV750V,0,30
MINI,ONE,ausente do painel,0,1,1,,ONE,0,27
SSANGYONG,TIVOLI,ausente do painel,0,1,1,,TIVOLI,0,24
FERRARI,PORTOFINO,ausente do painel,0,1,1,,PORTOFINO,0,23
NISSAN,TIIDA,ausente do painel,0,1,1,,TIIDA,0,23
ASTON MARTIN,VANTAGE,ausente do painel,0,1,1,,VANTAGE,0,22
HYUNDAI,SONATA,ausente do painel,0,1,1,,SONATA,0,19
MCLAREN,720S,ausente do painel,0,1,1,,720S,0,18
FERRARI,CALIFORNIA,ausente do painel,0,1,1,,CALIFORNIA,0,17
KIA,QUORIS,ausente do painel,0,1,1,,QUORIS,0,17
LIFAN,620,ausente do painel,0,1,1,,620,0,17
MCLAREN,756LT,ausente do painel,0,1,1,,756LT,0,15
JAGUAR,XK,ausente do painel,0,1,1,,XK,0,14
M BENZ,SL,ausente do painel,0,1,1,,SL,0,14
ASTON MARTIN,DBX,ausente do painel,0,1,1,,DBX,0,11
M BENZ,SLS,ausente do painel,0,1,1,,SLS AMG,0,11
MASERATI,GRAN,ausente do painel,0,1,1,,GRAN TURISMO,0,11
FERRARI,F12BERLINETTA,ausente do painel,0,1,1,,F12BERLINETTA,0,10
SSANGYONG,XLV,ausente do painel,0,1,1,,XLV,0,10
FERRARI,ROMA,ausente do painel,0,1,1,,ROMA,0,9
MASERATI,QUATTROPORTE,ausente do painel,0,1,1,,QUATTROPORTE,0,9
ROLLS ROYCE,GHOST,ausente do painel,0,1,1,,GHOST,0,9
,TAC,ausente do painel,0,1,1,,TAC STARK,0,8
ASTON MARTIN,V8,ausente do painel,0,1,1,,V8 VANTAGE,0,8
NISSAN,X,ausente do painel,0,1,1,,X TRAIL,0,8
PORSCHE,918,ausente do painel,0,1,1,,918 SPYDER,0,8
ROLLS ROYCE,PHANTOM,ausente do painel,0,1,1,,PHANTOM,0,8
FERRARI,SF90,ausente do painel,0,1,1,,SF90 STRADALE,0,7
HYUNDAI,VERACRUZ,ausente do painel,0,1,1,,VERACRUZ,0,7
JAC,IEV350T,ausente do painel,0,1,1,,IEV350T,0,6
ASTON MARTIN,DBS,ausente do painel,0,1,1,,DBS,0,5
FERRARI,GTC4LUSSO,ausente do painel,0,1,1,,GTC4LUSSO T,0,5
FERRARI,S90,ausente do painel,0,1,1,,S90 SPIDER,0,5
KIA,CARENS,ausente do painel,0,1,1,,CARENS,0,5
MCLAREN,GT,ausente do painel,0,1,1,,GT,0,5
TESLA,MODEL,colapso de variante,2,3,1,MODEL 3 | MODEL S,MODEL 3 | MODEL S | MODEL X,34,5
ASTON MARTIN,RAPIDE,ausente do painel,0,1,1,,RAPIDE,0,4
FERRARI,FF,ausente do painel,0,1,1,,FF,0,4
MASERATI,GRANCABRIO,ausente do painel,0,1,1,,GRANCABRIO,0,4
ROLLS ROYCE,CULLINAN,ausente do painel,0,1,1,,CULLINAN,0,4
FERRARI,296,ausente do painel,0,1,1,,296 GTB,0,3
