mes,segmento,nome_completo_fonte,unidades_acumulado,acumulado_esperado,diferenca
2022-03,automoveis,VW/TAOS,2074,2058.0,16.0
2022-03,comerciais_leves,NISSAN/FRONTIER,2149,2133.0,16.0
2022-03,automoveis,HONDA/CITY HATCH,2195,2180.0,15.0
2022-06,comerciais_leves,FIAT/STRADA,51046,51031.0,15.0
2022-03,automoveis,BMW/X1,673,658.0,15.0
2024-05,automoveis,BMW/X1,1882,1896.0,-14.0
2016-05,automoveis,VW/SPACE FOX,942,928.0,14.0
2022-03,automoveis,FIAT/CRONOS,3369,3355.0,14.0
2022-03,automoveis,RENAULT/LOGAN,2782,2768.0,14.0
2016-12,automoveis,MITSUBISHI/PAJERO,2605,2591.0,14.0
2023-06,automoveis,GM/BOLT,20,34.0,-14.0
2023-12,comerciais_leves,MITSUBISHI/L200,12644,12658.0,-14.0
2015-12,automoveis,CITROEN/C3 AIRCROSS,4667,4681.0,-14.0
2019-03,comerciais_leves,TOYOTA/HILUX,9246,9232.0,14.0
2022-03,automoveis,HYUNDAI/HB20S,6763,6750.0,13.0
2016-09,automoveis,FIAT/DOBLO,4701,4688.0,13.0
2022-03,comerciais_leves,RENAULT/OROCH,2221,2208.0,13.0
2023-12,automoveis,PORSCHE/911,1053,1065.0,-12.0
2020-11,automoveis,NISSAN/VERSA,8613,8601.0,12.0
2022-03,automoveis,CAOA CHERY/TIGGO 3X,2529,2517.0,12.0
2022-03,automoveis,VW/POLO,1050,1039.0,11.0
2022-03,comerciais_leves,MITSUBISHI/L200,2715,2704.0,11.0
2019-10,automoveis,FIAT/UNO,17093,17104.0,-11.0
2016-12,automoveis,FORD/KA SEDAN,24647,24657.0,-10.0
2026-07,automoveis,RENAULT/DUSTER,8211,8221.0,-10.0
2021-04,automoveis,GM/ONIX PLUS,23976,23986.0,-10.0
2022-03,automoveis,MITSUBISHI/PAJERO,651,641.0,10.0
2023-12,automoveis,VW/GOL,6165,6175.0,-10.0
2023-12,automoveis,GM/CORVETTE,59,68.0,-9.0
2022-03,comerciais_leves,CITROEN/JUMPY,678,669.0,9.0
2022-04,comerciais_leves,FIAT/STRADA,29667,29676.0,-9.0
2022-03,automoveis,CAOA CHERY/TIGGO 8,2100,2091.0,9.0
2025-10,comerciais_leves,FORD/RANGER,28117,28126.0,-9.0
2022-03,automoveis,HYUNDAI/TUCSON,1641,1632.0,9.0
2022-03,comerciais_leves,VW/AMAROK,1711,1703.0,8.0
2022-03,automoveis,FORD/BRONCO,313,305.0,8.0
2022-03,automoveis,GM/CRUZE SEDAN,1689,1681.0,8.0
2008-04,automoveis,PORSCHE/911,35,43.0,-8.0
2017-09,automoveis,GM/TRAILBLAZER,2465,2473.0,-8.0
2022-03,comerciais_leves,RENAULT/MASTER,1771,1763.0,8.0
2025-12,automoveis,BYD/SONG,42181,42188.0,-7.0
2024-12,automoveis,BYD/DOLPHIN MINI,21946,21953.0,-7.0
2019-08,comerciais_leves,FIAT/TORO,40186,40193.0,-7.0
2015-12,automoveis,VW/VOYAGE,41518,41525.0,-7.0
2022-03,comerciais_leves,FIAT/DUCATO,1126,1119.0,7.0
2017-03,automoveis,RENAULT/DUSTER,5251,5244.0,7.0
2024-08,automoveis,JEEP/RENEGADE,34782,34775.0,7.0
2017-05,comerciais_leves,TOYOTA/HILUX,13066,13072.0,-6.0
2022-03,automoveis,HONDA/CIVIC,1860,1854.0,6.0
2016-12,automoveis,HYUNDAI/TUCSON,11203,11197.0,6.0
2026-05,automoveis,BYD/SONG,24895,24901.0,-6.0
2026-07,automoveis,BYD/SONG,38352,38358.0,-6.0
2026-07,automoveis,BYD/DOLPHIN,24533,24539.0,-6.0
2023-12,comerciais_leves,FIAT/STRADA,120570,120576.0,-6.0
2017-02,automoveis,FORD/KA SEDAN,2406,2412.0,-6.0
2024-07,automoveis,FIAT/MOBI,39041,39047.0,-6.0
2024-05,automoveis,BYD/DOLPHIN MINI,7734,7740.0,-6.0
2018-03,automoveis,FIAT/MOBI,12335,12341.0,-6.0
2018-02,automoveis,MITSUBISHI/LANCER,168,174.0,-6.0
2019-03,automoveis,FIAT/UNO,4671,4677.0,-6.0
2008-04,comerciais_leves,M.BENZ/SPRINTER 313,1087,1081.0,6.0
2025-10,automoveis,BYD/DOLPHIN MINI,25693,25699.0,-6.0
2018-08,comerciais_leves,GM/MONTANA,8022,8028.0,-6.0
2017-04,automoveis,RENAULT/LOGAN,6594,6600.0,-6.0
2020-03,automoveis,NISSAN/KICKS,12362,12367.0,-5.0
2018-05,automoveis,M.BENZ/CLASSE GLA,1143,1148.0,-5.0
2025-10,automoveis,BYD/DOLPHIN,12071,12076.0,-5.0
2021-07,comerciais_leves,FIAT/TORO,41114,41119.0,-5.0
2017-06,automoveis,GM/ONIX,83236,83241.0,-5.0
2021-11,automoveis,JEEP/RENEGADE,69621,69626.0,-5.0
2025-08,automoveis,BYD/DOLPHIN MINI,19516,19521.0,-5.0
2017-11,comerciais_leves,GM/S10,27443,27448.0,-5.0
