mes,segmento,nome_completo_fonte,unidades_mes_anterior,mes_anterior_observado,diferenca
2016-05,automoveis,VW/SPACE FOX,164,150.0,14.0
2019-03,comerciais_leves,TOYOTA/HILUX,2896,2882.0,14.0
2022-03,automoveis,HYUNDAI/HB20S,2068,2055.0,13.0
2013-01,automoveis,MITSUBISHI/LANCER,627,640.0,-13.0
2017-07,automoveis,VOLVO/V40,10,23.0,-13.0
2022-07,comerciais_leves,FIAT/STRADA,9827,9840.0,-13.0
2022-03,comerciais_leves,RENAULT/OROCH,555,542.0,13.0
2022-03,automoveis,CAOA CHERY/TIGGO 3X,798,786.0,12.0
2020-11,automoveis,NISSAN/VERSA,108,96.0,12.0
2018-03,automoveis,M.BENZ/GLC,71,83.0,-12.0
2022-03,automoveis,VW/POLO,306,295.0,11.0
2016-12,automoveis,AUDI/A4 AVANT,11,0.0,11.0
2022-03,comerciais_leves,MITSUBISHI/L200,794,783.0,11.0
2019-10,automoveis,FIAT/UNO,1493,1504.0,-11.0
2016-12,automoveis,AUDI/A4,90,101.0,-11.0
2024-05,automoveis,BMW/X1,328,339.0,-11.0
2016-12,automoveis,FORD/KA SEDAN,2511,2521.0,-10.0
2022-03,automoveis,MITSUBISHI/PAJERO,283,273.0,10.0
2017-08,automoveis,RENAULT/DUSTER,718,727.0,-9.0
2022-03,automoveis,CAOA CHERY/TIGGO 8,887,878.0,9.0
2019-01,automoveis,RENAULT/KWID,7644,7653.0,-9.0
2022-03,comerciais_leves,CITROEN/JUMPY,194,185.0,9.0
2022-03,automoveis,HYUNDAI/TUCSON,829,820.0,9.0
2019-07,automoveis,PORSCHE/911,16,7.0,9.0
2022-03,comerciais_leves,VW/AMAROK,514,506.0,8.0
2025-10,comerciais_leves,FORD/RANGER,3106,3114.0,-8.0
2022-03,comerciais_leves,RENAULT/MASTER,488,480.0,8.0
2022-03,automoveis,FORD/BRONCO,97,89.0,8.0
2022-03,automoveis,GM/CRUZE SEDAN,485,477.0,8.0
2019-08,comerciais_leves,FIAT/TORO,6205,6212.0,-7.0
2024-08,automoveis,JEEP/RENEGADE,5773,5766.0,7.0
2022-03,comerciais_leves,FIAT/DUCATO,326,319.0,7.0
2022-06,comerciais_leves,FIAT/STRADA,11532,11525.0,7.0
2015-12,automoveis,VW/VOYAGE,3410,3417.0,-7.0
2017-03,automoveis,RENAULT/DUSTER,1693,1686.0,7.0
2018-08,comerciais_leves,GM/MONTANA,1413,1419.0,-6.0
2016-12,automoveis,HYUNDAI/TUCSON,90,84.0,6.0
2018-02,automoveis,MITSUBISHI/LANCER,78,84.0,-6.0
2017-04,automoveis,RENAULT/LOGAN,1886,1892.0,-6.0
2017-01,automoveis,HONDA/CIVIC,2915,2921.0,-6.0
2017-05,comerciais_leves,TOYOTA/HILUX,2509,2515.0,-6.0
2017-02,automoveis,FORD/KA SEDAN,1278,1284.0,-6.0
2016-01,automoveis,TOYOTA/COROLLA,6417,6423.0,-6.0
2022-03,automoveis,HONDA/CIVIC,477,471.0,6.0
2019-03,automoveis,FIAT/UNO,2000,2006.0,-6.0
2025-01,automoveis,BYD/SONG,5233,5239.0,-6.0
2024-05,automoveis,BYD/DOLPHIN MINI,3138,3143.0,-5.0
2020-03,automoveis,NISSAN/KICKS,4950,4955.0,-5.0
2018-05,automoveis,M.BENZ/CLASSE GLA,180,185.0,-5.0
2023-01,automoveis,M.BENZ/CLASSE A,2,7.0,-5.0
2018-03,automoveis,FIAT/MOBI,3322,3327.0,-5.0
2023-03,comerciais_leves,FORD/TRANSIT,227,222.0,5.0
2022-03,automoveis,VW/VIRTUS,306,301.0,5.0
2018-11,automoveis,FIAT/DOBLO,549,554.0,-5.0
2022-03,automoveis,CAOA CHERY/ARRIZO 6,170,166.0,4.0
2022-03,automoveis,PEUGEOT/2008,449,445.0,4.0
2017-12,comerciais_leves,RENAULT/MASTER,594,598.0,-4.0
2008-04,automoveis,PORSCHE/911,14,18.0,-4.0
2016-05,automoveis,CITROEN/AIRCROSS,589,585.0,4.0
2022-03,automoveis,LAND ROVER/DISCOVERY,133,129.0,4.0
2016-04,comerciais_leves,CITROEN/JUMPER,116,112.0,4.0
2022-12,automoveis,FIAT/PULSE,3689,3685.0,4.0
2019-12,automoveis,VW/VIRTUS,4200,4204.0,-4.0
2019-11,comerciais_leves,TOYOTA/HILUX,3393,3397.0,-4.0
2025-02,automoveis,BYD/SONG,3179,3183.0,-4.0
2022-03,automoveis,MITSUBISHI/Outlander,228,224.0,4.0
2016-09,automoveis,AUDI/A4,4,0.0,4.0
2022-04,automoveis,TOYOTA/COROLLA,4192,4196.0,-4.0
2022-03,comerciais_leves,RAM/2500,46,42.0,4.0
2022-01,automoveis,PEUGEOT/208,1810,1814.0,-4.0
2018-02,comerciais_leves,FORD/RANGER,1407,1411.0,-4.0
2022-03,automoveis,MITSUBISHI/ECLIPSE CROSS,144,140.0,4.0
2025-12,automoveis,BYD/SONG,4376,4380.0,-4.0
2026-06,comerciais_leves,FIAT/STRADA,15391,15395.0,-4.0
2018-08,comerciais_leves,RENAULT/MASTER,621,625.0,-4.0
2018-03,automoveis,VW/GOL,4487,4491.0,-4.0
2019-08,comerciais_leves,VW/AMAROK,1664,1668.0,-4.0
2022-11,comerciais_leves,RENAULT/MASTER,749,745.0,4.0
2016-08,comerciais_leves,TOYOTA/HILUX,2655,2658.0,-3.0
2016-07,automoveis,HONDA/HR-V,5221,5224.0,-3.0
2019-12,automoveis,GM/ONIX PLUS,8089,8092.0,-3.0
2025-10,automoveis,BYD/DOLPHIN MINI,3389,3392.0,-3.0
2022-03,automoveis,M.BENZ/CLASSE C,167,164.0,3.0
2016-08,automoveis,FIAT/MOBI,3601,3604.0,-3.0
2020-11,automoveis,FORD/KA,7489,7492.0,-3.0
2021-12,comerciais_leves,FIAT/TORO,5918,5921.0,-3.0
2021-05,comerciais_leves,FIAT/TORO,6679,6682.0,-3.0
2018-05,automoveis,HYUNDAI/HB20,9603,9606.0,-3.0
2018-05,comerciais_leves,FIAT/STRADA,6354,6357.0,-3.0
2024-02,comerciais_leves,FIAT/STRADA,8019,8022.0,-3.0
2022-03,comerciais_leves,FORD/MAVERICK,37,34.0,3.0
2026-05,automoveis,BYD/DOLPHIN MINI,6877,6880.0,-3.0
2019-03,automoveis,TOYOTA/COROLLA,3356,3359.0,-3.0
2018-09,automoveis,GM/ONIX,21760,21763.0,-3.0
2026-05,comerciais_leves,FIAT/STRADA,14901,14904.0,-3.0
2022-01,automoveis,FIAT/ARGO,4506,4509.0,-3.0
2026-06,comerciais_leves,TOYOTA/HILUX,3979,3982.0,-3.0
2023-11,comerciais_leves,RENAULT/MASTER,983,980.0,3.0
2019-02,automoveis,FORD/KA,8020,8023.0,-3.0
2023-11,automoveis,TOYOTA/COROLLA CROSS,3679,3682.0,-3.0
2026-07,automoveis,BYD/DOLPHIN,5509,5512.0,-3.0
2023-06,automoveis,GM/TRACKER,5433,5436.0,-3.0
