marca,modelo,segmento,marca_chave,modelo_chave,segmento_chave
MITSUBISHI,Outlander,automoveis,MITSUBISHI,OUTLANDER,AUTOMOVEIS
MITSUBISHI,OUTLANDER,automoveis,MITSUBISHI,OUTLANDER,AUTOMOVEIS
