marca_fonte,metodo,conhecida,linhas,unidades,modelos,primeiro_mes,ultimo_mes,exemplo
MCLAREN,barra,True,4,23,1,2023-05,2023-08,MCLAREN/ARTURA
HITECH,barra,True,8,21,1,2023-05,2024-09,HITECH/ECOCARGO
MASERATI,barra,False,10,16,2,2003-01,2007-01,MASERATI/COUPE
MATRA,barra,False,8,14,1,2003-10,2004-10,MATRA/MATRA
ENGESA,barra,True,12,13,2,2005-01,2022-09,ENGESA/ENVEMO CAMPER
MON,barra,True,4,12,1,2024-02,2024-09,MON/PROTOTIPO
ALFA ROMEO,barra,True,11,12,2,2003-01,2026-08,ALFA ROMEO/156
AMGC HUMER,barra,False,9,11,2,2005-01,2007-08,AMGC HUMER/HMC4 6.5T
CADILLAC,barra,True,8,10,2,2005-01,2021-06,CADILLAC/ESCALADE
MCC,barra,False,25,6,1,2003-02,2008-12,MCC/SMART
EDRA,barra,False,2,5,1,2010-04,2010-05,EDRA/ARIS
VICTORY,barra,False,2,4,2,2011-08,2011-08,VICTORY/GHT6360
GREAT WALL,barra,True,1,4,1,2011-07,2011-07,GREAT WALL/WINGLE
DAEWOO,barra,False,13,3,2,2003-03,2009-06,DAEWOO/ESPERO
JPX,barra,False,5,3,1,2004-01,2006-01,JPX/MONTEZ
LINCOLN,barra,False,6,3,1,2003-05,2006-01,LINCOLN/NAVIGATOR
DENZA,barra,True,1,3,1,2025-01,2025-01,DENZA/D9
FARGO,barra,True,3,3,1,2018-05,2018-12,FARGO/FARGO
BUICK,barra,False,6,2,2,2007-07,2009-05,BUICK/LESABRE
OPEL,barra,True,5,2,2,2003-08,2022-01,OPEL/OPEL VECTRA
KARRY,barra,False,1,2,1,2012-03,2012-03,KARRY/Q22
ISUZU,barra,False,2,2,1,2009-04,2009-10,ISUZU/PICK UP
LVTONG,barra,True,1,2,1,2021-09,2021-09,LVTONG/LT S14 C
DKW,barra,True,2,2,1,2018-10,2019-12,DKW/VEMAGUETE
DATSUM,barra,True,1,1,1,2016-11,2016-11,DATSUM/DATSUM
BAIC,barra,True,1,1,1,2025-05,2025-05,BAIC/EU5
CBP,barra,False,2,1,1,2004-12,2005-01,CBP/191
FREIGHTLINER,barra,True,1,1,1,2016-07,2016-07,FREIGHTLINER/2500
INTERNATIONAL,barra,True,1,1,1,2020-01,2020-01,INTERNATIONAL/INTERNATIONAL
JMEV,barra,True,1,1,1,2026-02,2026-02,JMEV/GSE
JIMBEI,barra,False,1,1,1,2008-01,2008-01,JIMBEI/HAISE
MAZDA,barra,False,10,1,1,2003-02,2003-12,MAZDA/MPV
ROLLS ROYCE,barra,True,4,1,1,2024-02,2024-05,ROLLS ROYCE/ROLLS ROYCE
NÃO IDENTIFICADO,barra,True,1,1,1,2019-02,2019-02,NÃO IDENTIFICADO/EE34
MPLM,barra,False,1,1,1,2003-12,2003-12,MPLM/MPLM/JAVALI
