marca,modelo,segmento,unidades,meses,primeiro_mes,ultimo_mes,motivo,nome_suspeito,volume_infimo
FIAT,PALIO FURGAO,comerciais_leves,4,2,2011-08,2015-08,,False,True
FORD,CONTOURSE,comerciais_leves,4,2,2019-07,2019-10,,False,True
GREAT WALL,WINGLE,comerciais_leves,4,1,2011-07,2011-07,,False,True
M.BENZ,C43,automoveis,4,1,2017-01,2017-01,,False,True
MASERATI,COUPE,automoveis,4,2,2003-01,2003-02,,False,True
NISSAN,TOWNSTAR,comerciais_leves,4,1,2024-03,2024-03,,False,True
RENAULT,MARCOPOLO/VOLARE V9L EO,comerciais_leves,4,1,2023-06,2023-06,,False,True
VW,BABY,comerciais_leves,4,2,2003-06,2005-09,,False,True
DFM,MINIBUS 1.0,comerciais_leves,5,2,2015-06,2016-03,,False,True
EDRA,ARIS,comerciais_leves,5,2,2010-04,2010-05,,False,True
HYUNDAI,H350,comerciais_leves,5,2,2019-07,2020-02,,False,True
FERRARI,296 GTB,automoveis,6,1,2024-01,2024-01,,False,True
M.BENZ,GL,automoveis,6,2,2007-01,2007-08,,False,True
M.BENZ,AUTOVAN,comerciais_leves,7,1,2003-02,2003-02,,False,True
FERRARI,458,automoveis,8,1,2011-01,2011-01,,False,True
BMW,530I,automoveis,9,1,2018-12,2018-12,,False,True
