mes,segmento,total_publicado,total_publicado_mes_anterior,origem,arquivo_origem,edicao
2014-11,automoveis,234777,242710,resumo_mensal,2014-11.pdf,143
2014-11,comerciais_leves,45037,48667,resumo_mensal,2014-11.pdf,143
